"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 6"
"Sample Count: 286"
"Start Time: 20/11/2025 12:11:34.8"
"Scan Rate: 1.65600001811981"
"Sample","Time (s)","PHC-inner (°C)","PHA-inner (°C)","PHA-interface (°C)","Ext-above-PHA (°C)","Ambient (°C)","Ext-above-PHC (°C)"
"0","0:00.0","21.560","21.757","21.727","21.725","20.787","21.560"
"1","0:00.6","21.556","21.752","21.730","21.769","20.787","21.552"
"2","0:01.2","21.556","21.756","21.728","21.792","20.792","21.563"
"3","0:01.8","21.560","21.760","21.735","21.789","20.779","21.544"
"4","0:02.4","21.455","21.778","21.733","14.554","20.784","21.532"
"5","0:03.0","21.701","21.910","21.738","8.163","20.778","21.522"
"6","0:03.6","21.807","22.309","21.739","12.247","20.773","21.570"
"7","0:04.2","22.145","22.790","21.753","16.141","20.789","21.547"
"8","0:04.8","22.487","23.370","21.757","17.146","20.784","21.577"
"9","0:05.4","22.996","24.110","21.772","6.357","20.783","21.606"
"10","0:06.0","23.515","24.834","21.801","18.040","20.791","21.641"
"11","0:06.6","24.076","25.611","21.825","17.998","20.790","21.700"
"12","0:07.2","24.682","26.531","21.849","11.129","20.795","21.655"
"13","0:07.9","25.279","27.301","21.863","15.609","20.793","21.727"
"14","0:08.5","25.928","28.120","21.912","12.140","20.805","21.769"
"15","0:09.1","26.605","29.135","21.955","14.124","20.804","21.838"
"16","0:09.7","27.215","29.955","21.943","13.768","20.796","21.858"
"17","0:10.3","28.001","30.915","21.984","16.213","20.810","21.921"
"18","0:10.9","28.460","31.727","22.018","17.441","20.806","21.999"
"19","0:11.5","29.300","32.748","22.093","11.403","20.809","22.028"
"20","0:12.1","30.123","33.764","22.141","25.777","20.803","22.084"
"21","0:12.7","30.656","34.492","22.186","10.702","20.814","22.205"
"22","0:13.3","31.295","35.517","22.258","28.460","20.799","22.252"
"23","0:13.9","32.223","36.642","22.349","13.055","20.815","22.373"
"24","0:14.5","32.869","37.361","22.405","14.729","20.814","22.445"
"25","0:15.1","33.471","38.291","22.497","15.214","20.818","22.565"
"26","0:15.7","34.152","39.352","22.597","17.484","20.823","22.642"
"27","0:16.3","35.042","40.397","22.686","18.215","20.821","22.699"
"28","0:16.9","35.765","41.124","22.760","17.934","20.816","22.845"
"29","0:17.5","36.249","42.040","22.849","16.513","20.826","22.983"
"30","0:18.1","36.882","43.089","22.964","18.330","20.823","23.070"
"31","0:18.7","37.784","44.033","23.052","19.992","20.830","23.143"
"32","0:19.3","38.418","44.660","23.121","22.018","20.826","23.257"
"33","0:19.9","38.926","45.712","23.230","22.362","20.784","23.278"
"34","0:20.5","39.785","46.703","23.336","17.782","20.790","23.388"
"35","0:21.1","40.550","47.447","23.442","27.117","20.788","23.501"
"36","0:21.7","41.009","48.280","23.561","27.834","20.792","23.665"
"37","0:22.3","41.655","49.285","23.723","26.818","20.803","23.829"
"38","0:22.9","42.542","50.248","23.845","19.295","20.806","23.968"
"39","0:23.6","43.155","50.969","23.947","28.599","20.804","24.109"
"40","0:24.2","43.739","51.850","24.092","27.438","20.817","24.277"
"41","0:24.8","44.373","52.884","24.249","26.617","20.835","24.410"
"42","0:25.4","45.324","53.713","24.378","25.328","20.833","24.521"
"43","0:26.0","45.930","54.336","24.501","30.437","20.830","24.673"
"44","0:26.6","46.469","55.242","24.663","23.330","20.832","24.832"
"45","0:27.2","47.285","56.258","24.834","33.741","20.837","24.999"
"46","0:27.8","48.041","56.986","24.974","34.682","20.843","25.155"
"47","0:28.4","48.501","57.695","25.139","36.877","20.857","25.344"
"48","0:29.0","49.138","57.333","25.409","31.067","20.863","25.523"
"49","0:29.6","49.978","57.649","25.612","27.951","20.870","25.691"
"50","0:30.2","50.643","58.516","25.752","35.559","20.866","25.886"
"51","0:30.8","51.089","59.621","25.909","37.165","20.876","26.076"
"52","0:31.4","51.685","60.860","26.085","33.585","20.879","26.256"
"53","0:32.0","52.628","61.812","26.238","35.739","20.872","26.452"
"54","0:32.6","53.197","62.512","26.408","39.495","20.877","26.650"
"55","0:33.2","53.691","63.381","26.618","35.947","20.878","26.868"
"56","0:33.8","54.537","64.293","26.779","31.534","20.884","27.059"
"57","0:34.4","55.290","65.066","26.965","39.064","20.879","27.240"
"58","0:35.0","55.725","65.848","27.153","37.956","20.881","27.439"
"59","0:35.6","56.351","66.848","27.360","38.409","20.887","27.641"
"60","0:36.2","57.183","67.850","27.607","31.850","20.884","27.859"
"61","0:36.8","57.817","68.526","27.827","34.507","20.873","28.097"
"62","0:37.4","58.244","69.302","28.007","34.985","20.876","28.321"
"63","0:38.0","58.919","70.228","28.212","36.487","20.893","28.468"
"64","0:38.6","59.685","71.016","28.392","35.841","20.878","28.667"
"65","0:39.3","60.237","71.494","28.601","37.425","20.873","28.883"
"66","0:39.9","60.678","72.317","28.857","37.899","20.882","29.102"
"67","0:40.5","61.458","73.212","29.036","40.411","20.886","29.343"
"68","0:41.1","62.001","73.759","29.229","32.329","20.880","29.589"
"69","0:41.7","62.452","74.617","29.461","31.021","20.890","29.749"
"70","0:42.3","63.285","75.370","29.648","33.732","20.885","29.995"
"71","0:42.9","63.758","75.890","29.823","31.509","20.888","30.331"
"72","0:43.5","64.253","76.627","30.021","35.460","20.894","30.560"
"73","0:44.1","64.862","77.452","30.239","38.532","20.907","30.742"
"74","0:44.7","65.663","78.007","30.443","36.924","20.911","30.934"
"75","0:45.3","66.069","78.442","30.631","35.439","20.911","31.209"
"76","0:45.9","66.661","79.222","30.888","49.622","20.927","31.478"
"77","0:46.5","67.398","79.922","31.150","46.062","20.932","31.691"
"78","0:47.1","68.092","80.402","31.437","36.873","20.934","31.856"
"79","0:47.7","68.471","80.939","31.719","46.080","20.934","32.095"
"80","0:48.3","69.002","81.722","32.019","40.426","20.932","32.325"
"81","0:48.9","69.797","82.319","32.271","40.783","20.937","32.573"
"82","0:49.5","70.432","82.742","32.511","39.190","20.933","32.847"
"83","0:50.1","70.798","83.439","32.761","37.457","20.936","33.091"
"84","0:50.7","71.386","84.103","32.969","44.353","20.929","33.311"
"85","0:51.3","72.163","84.578","33.205","35.294","20.925","33.547"
"86","0:51.9","72.647","85.000","33.435","44.493","20.920","33.806"
"87","0:52.5","73.074","85.694","33.718","44.306","20.918","34.059"
"88","0:53.1","73.829","86.360","33.967","42.976","20.927","34.329"
"89","0:53.7","74.498","86.928","34.205","50.181","20.926","34.619"
"90","0:54.3","74.862","87.420","34.439","42.140","20.913","34.911"
"91","0:55.0","75.367","88.125","34.733","39.874","20.919","35.136"
"92","0:55.6","76.173","88.710","35.027","36.133","20.917","35.240"
"93","0:56.2","76.661","89.060","35.225","55.196","20.913","35.479"
"94","0:56.8","77.081","89.695","35.452","47.438","20.920","35.800"
"95","0:57.4","77.818","90.469","35.708","47.771","20.928","36.073"
"96","0:58.0","78.431","90.980","35.996","39.882","20.926","36.355"
"97","0:58.6","78.890","91.375","36.320","40.611","20.930","36.687"
"98","0:59.2","79.326","91.992","36.638","52.096","20.946","36.979"
"99","0:59.8","80.092","92.580","36.882","63.578","20.957","37.235"
"100","1:00.4","80.698","92.884","37.159","45.513","20.955","37.477"
"101","1:01.0","81.121","93.548","37.559","42.871","20.960","37.696"
"102","1:01.6","81.670","94.165","37.895","57.274","20.966","37.898"
"103","1:02.2","82.352","94.672","38.183","51.139","20.983","38.184"
"104","1:02.8","82.857","94.989","38.475","61.548","20.984","38.500"
"105","1:03.4","83.273","95.623","38.773","68.296","20.989","38.748"
"106","1:04.0","83.950","96.295","39.050","57.605","20.990","39.028"
"107","1:04.6","84.564","96.759","39.289","80.607","20.979","39.362"
"108","1:05.2","84.968","97.218","39.580","57.732","20.981","39.721"
"109","1:05.8","85.649","97.769","39.875","45.288","20.981","39.882"
"110","1:06.4","86.012","98.415","40.218","74.347","20.984","40.092"
"111","1:07.0","86.548","98.895","40.526","53.005","20.981","40.394"
