Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 3620885024
71.681686,1.4,23.67,509,7,2,0,100.35,1,0,
71.651657,3,23.65,2837,13,3,0,214.95,1,0,
71.62162,2.6,23.62,2004,21,3,0,186.22,1,0,
71.471474,5,23.62,1980,28,4,0,357.36,1,0,
71.471474,5.8,23.62,2568,31,5,0,414.53,1,0,
71.441444,8,23.6,2575,32,5,0,571.53,1,0,
71.471474,6.6,23.6,2802,31,5,0,471.71,1,0,
71.411415,8.8,23.6,2586,32,5,0,628.42,1,0,
71.471474,7.4,23.57,1678,37,5,0,528.89,1,0,
71.351357,12.2,23.57,1475,45,6,0,870.49,1,0,
71.531532,8.8,23.57,962,51,5,0,629.48,1,0,
71.441444,8.6,23.6,1401,60,6,0,614.4,1,0,
71.501503,11.6,23.67,1189,68,5,0,829.42,1,0,
71.32132,7,23.7,1948,76,6,0,499.25,1,0,
71.32132,9.6,23.72,1905,84,5,0,684.68,1,0,
71.591591,5.8,23.82,2050,93,5,0,415.23,1,0,
71.561562,8.6,23.85,2008,98,5,0,615.43,1,0,
71.531532,6.6,23.95,2046,98,5,0,472.11,1,0,
71.471474,10.6,24.02,2133,98,5,0,757.6,1,0,
71.741745,7.8,24.1,2258,98,5,0,559.59,1,0,
71.351357,9.2,24.17,2291,100,6,0,656.43,1,0,
71.441444,7.4,24.2,2276,100,5,0,528.67,1,0,
71.171173,7.4,24.3,2337,100,6,0,526.67,1,0,
71.501503,8,24.35,2279,100,5,0,572.01,1,0,
71.471474,6.4,24.42,2185,100,5,0,457.42,1,0,
71.561562,8.4,24.5,2185,100,5,0,601.12,1,0,
71.651657,6,24.57,2290,100,5,0,429.91,1,0,
71.471474,9.6,24.7,1962,100,5,0,686.13,1,0,
71.501503,6.4,24.7,2285,100,5,0,457.61,1,0,
71.441444,10.6,24.77,2407,100,6,0,757.28,1,0,
71.681686,5.8,24.85,2659,100,5,0,415.75,1,0,
71.441444,10.2,24.95,2307,100,7,0,728.7,1,0,
71.531532,6.8,26.72,958,100,5,0,486.41,1,0,
71.531532,9.2,26.85,2225,100,5,0,658.09,1,0,
71.381386,6.2,26.87,2274,100,5,0,442.56,1,0,
71.591591,8.8,26.9,2065,100,5,0,630.01,1,0,
71.411415,6.4,26.95,1916,100,5,0,457.03,1,0,
71.441444,9.4,27,1982,100,5,0,671.55,1,0,
71.471474,7.2,27,2280,100,5,0,514.59,1,0,
71.111115,9,27.08,2216,100,6,0,640,1,0,
71.62162,8,27.15,729,100,5,0,572.97,1,0,
71.411415,7.8,27.15,2104,100,6,0,557.01,1,0,
71.531532,8.6,27.15,2216,100,5,0,615.17,1,0,
71.471474,6.6,27.25,1986,100,5,0,471.71,1,0,
71.531532,8.8,27.31,1985,100,5,0,629.48,1,0,
71.501503,6,27.31,2340,100,5,0,429.01,1,0,
71.561562,8.4,27.33,2207,100,5,0,601.12,1,0,
71.921921,6.4,27.41,1875,100,5,0,460.3,1,0,
71.081085,8.8,27.43,1979,100,5,0,625.51,1,0,
