"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 6"
"Sample Count: 320"
"Start Time: 20/11/2025 12:27:38.2"
"Scan Rate: 1.65600001811981"
"Sample","Time (s)","PHC-inner (°C)","PHA-inner (°C)","PHA-interface (°C)","Ext-above-PHA (°C)","Ambient (°C)","Ext-above-PHC (°C)"
"0","0:00.0","26.806","28.339","29.475","29.782","21.850","27.481"
"1","0:00.6","26.823","28.340","29.471","29.657","21.838","27.456"
"2","0:01.2","26.844","28.337","29.462","29.640","21.836","27.439"
"3","0:01.8","26.863","28.335","29.449","29.617","21.833","27.443"
"4","0:02.4","26.881","28.324","29.444","29.609","21.830","27.426"
"5","0:03.0","26.896","28.328","29.430","29.602","21.834","27.403"
"6","0:03.6","26.917","28.317","29.427","29.587","21.827","27.402"
"7","0:04.2","26.934","28.313","29.414","29.578","21.825","27.395"
"8","0:04.8","26.954","28.306","29.405","29.530","21.821","27.394"
"9","0:05.4","26.961","28.232","29.389","29.694","21.824","27.393"
"10","0:06.0","26.987","28.299","29.370","29.573","21.822","27.389"
"11","0:06.6","26.999","28.288","29.357","29.538","21.826","27.393"
"12","0:07.2","27.020","28.283","29.365","29.520","21.818","27.407"
"13","0:07.9","27.032","28.276","29.355","29.533","21.820","27.421"
"14","0:08.5","27.041","28.260","29.332","29.514","21.814","27.425"
"15","0:09.1","27.053","28.260","29.310","29.501","21.812","27.432"
"16","0:09.7","27.068","28.252","29.298","29.506","21.805","27.436"
"17","0:10.3","27.076","28.252","29.300","29.492","21.804","27.440"
"18","0:10.9","27.086","28.245","29.291","29.477","21.795","27.440"
"19","0:11.5","27.084","28.243","29.287","29.472","21.790","27.439"
"20","0:12.1","27.086","28.236","29.250","29.462","21.786","27.443"
"21","0:12.7","27.093","28.237","29.230","29.453","21.785","27.440"
"22","0:13.3","27.100","28.234","29.232","29.441","21.776","27.437"
"23","0:13.9","27.103","28.231","29.225","29.428","21.777","27.433"
"24","0:14.5","27.102","28.234","29.200","29.431","21.777","27.427"
"25","0:15.1","27.098","28.230","29.188","29.424","21.773","27.420"
"26","0:15.7","27.097","28.224","29.187","29.415","21.768","27.406"
"27","0:16.3","27.095","28.223","29.184","29.413","21.770","27.402"
"28","0:16.9","27.102","28.223","29.189","29.411","21.768","27.401"
"29","0:17.5","27.100","28.222","29.196","29.404","21.767","27.379"
"30","0:18.1","27.100","28.221","29.194","29.383","21.766","27.379"
"31","0:18.7","27.097","28.215","29.190","29.382","21.768","27.377"
