Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 3620885024
71.741745,2,34.51,1696,3,2,0,143.48,1,0,
71.711716,2.6,34.46,792,6,3,0,186.45,1,0,
71.651657,3.6,34.46,1962,8,3,0,257.95,1,0,
71.62162,4.2,34.46,1167,8,3,0,300.81,1,0,
71.531532,8.4,34.46,2125,8,5,0,600.86,1,0,
71.29129,6.8,34.46,2353,8,6,0,484.78,1,0,
71.681686,7.8,34.46,2260,8,5,0,559.12,1,0,
71.591591,6.2,34.46,2377,8,5,0,443.87,1,0,
71.531532,8.8,34.46,2309,8,5,0,629.48,1,0,
71.591591,6.6,34.46,2695,8,5,0,472.5,1,0,
72.312317,8.4,34.46,2439,8,5,0,607.42,1,0,
71.381386,6.6,34.46,2685,8,5,0,471.12,1,0,
72.402405,8.8,34.46,2428,8,6,0,637.14,1,0,
72.072075,6.4,34.46,2655,8,5,0,461.26,1,0,
72.072075,6.4,34.46,2739,8,6,0,461.26,1,0,
71.471474,7.8,34.48,2534,8,5,0,557.48,1,0,
71.741745,6.2,34.6,2536,9,6,0,444.8,1,0,
71.381386,7.6,34.65,2505,9,5,0,542.5,1,0,
71.531532,6.6,34.68,2171,9,5,0,472.11,1,0,
71.62162,10.4,34.79,1878,9,5,0,744.86,1,0,
71.981987,6.8,34.84,2232,10,5,0,489.48,1,0,
71.891891,8.8,34.93,2177,11,5,0,632.65,1,0,
71.561562,8.2,34.98,1988,10,5,0,586.8,1,0,
71.471474,8.6,35.04,1909,11,6,0,614.65,1,0,
71.861862,9.6,35.09,1843,10,5,0,689.87,1,0,
71.381386,6.6,35.12,1939,11,5,0,471.12,1,0,
71.501503,10.6,35.26,795,10,5,0,757.92,1,0,
71.501503,7,35.29,1002,11,5,0,500.51,1,0,
71.501503,8.4,35.4,2201,10,5,0,600.61,1,0,
71.651657,6.6,35.46,2216,11,5,0,472.9,1,0,
71.471474,10.6,35.46,1953,10,6,0,757.6,1,0,
71.531532,7,35.54,1947,11,5,0,500.72,1,0,
72.162163,7.4,35.63,1877,10,5,0,534,1,0,
71.561562,8.2,35.68,835,10,5,0,586.8,1,0,
71.681686,8,35.71,928,10,5,0,573.45,1,0,
71.561562,8.8,35.79,1414,12,5,0,629.74,1,0,
71.531532,7,35.85,2131,12,5,0,500.72,1,0,
71.591591,8.2,35.96,2095,14,5,0,587.05,1,0,
71.531532,6.4,36.05,2008,14,5,0,457.8,1,0,
71.591591,9.6,36.08,1540,15,5,0,687.28,1,0,
71.591591,6.8,36.1,942,17,5,0,486.82,1,0,
71.141144,9,36.19,2106,18,5,0,640.27,1,0,
71.561562,7.4,36.24,2153,19,5,0,529.56,1,0,
71.351357,8.6,36.3,2212,20,6,0,613.62,1,0,
71.681686,8.2,36.33,736,21,5,0,587.79,1,0,
71.441444,8.4,36.36,2642,22,6,0,600.11,1,0,
71.471474,8,36.47,2016,22,5,0,571.77,1,0,
71.501503,7,36.5,2132,22,5,0,500.51,1,0,
71.501503,10.6,36.56,1994,22,5,0,757.92,1,0,
71.531532,6.8,36.58,2559,22,5,0,486.41,1,0,
71.591591,10,36.67,1680,23,5,0,715.92,1,0,
71.441444,6.8,36.73,1940,23,5,0,485.8,1,0,
71.411415,11.4,36.76,943,24,6,0,814.09,1,0,
71.561562,7.8,36.78,2354,24,5,0,558.18,1,0,
71.381386,7.8,36.87,2289,25,6,0,556.77,1,0,
71.531532,9,36.93,743,25,5,0,643.78,1,0,
71.471474,8.2,36.95,1780,25,5,0,586.07,1,0,
71.561562,8,36.95,2051,25,5,0,572.49,1,0,
71.531532,6.6,37.01,1624,24,5,0,472.11,1,0,
71.471474,9.2,37.1,2277,22,5,0,657.54,1,0,
71.62162,6.4,37.16,1993,22,5,0,458.38,1,0,
71.531532,8.6,37.21,1982,20,5,0,615.17,1,0,
71.861862,6.6,37.21,2191,21,5,0,474.29,1,0,
71.681686,8.6,37.27,1940,20,6,0,616.46,1,0,
71.561562,8.8,37.36,738,20,5,0,629.74,1,0,
71.411415,8.4,37.38,1666,20,6,0,599.86,1,0,
71.531532,11.2,37.41,791,20,5,0,801.15,1,0,
71.471474,8.6,37.47,962,20,5,0,614.65,1,0,
72.072075,8.2,37.53,1954,20,5,0,590.99,1,0,
71.561562,6.8,37.56,1979,20,5,0,486.62,1,0,
71.531532,8,37.59,1985,20,5,0,572.25,1,0,
71.561562,7.6,37.61,2029,20,5,0,543.87,1,0,
71.591591,9.4,37.67,905,20,5,0,672.96,1,0,
71.561562,7.8,37.7,1048,20,5,0,558.18,1,0,
71.411415,9.6,37.76,2278,20,6,0,685.55,1,0,
71.531532,8.6,37.85,735,20,5,0,615.17,1,0,
71.441444,8,37.85,2269,20,5,0,571.53,1,0,
71.561562,8.8,37.85,814,20,5,0,629.74,1,0,
71.501503,6.4,37.88,2201,20,5,0,457.61,1,0,
71.531532,8.2,37.9,1930,20,5,0,586.56,1,0,
71.561562,6.6,37.96,873,20,5,0,472.31,1,0,
71.471474,11.4,38.02,1434,20,6,0,814.77,1,0,
71.591591,7.2,38.05,727,20,5,0,515.46,1,0,
71.62162,9.4,38.11,1476,20,5,0,673.24,1,0,
71.591591,7.8,38.19,729,20,5,0,558.41,1,0,
71.411415,10,38.19,1505,20,6,0,714.11,1,0,
71.561562,8.8,38.19,723,20,5,0,629.74,1,0,
71.501503,7.4,38.22,2205,20,5,0,529.11,1,0,
71.711716,11.6,38.25,784,20,5,0,831.86,1,0,
71.501503,7.6,38.25,2416,20,5,0,543.41,1,0,
71.471474,10.4,38.34,1700,20,5,0,743.3,1,0,
71.681686,6.8,38.4,739,20,5,0,487.44,1,0,
71.441444,10.8,38.46,1837,20,6,0,771.57,1,0,
71.62162,8,38.46,731,20,5,0,572.97,1,0,
71.351357,10.6,38.46,1625,20,6,0,756.32,1,0,
71.531532,8.8,38.51,729,20,5,0,629.48,1,0,
71.471474,8.4,38.57,2289,20,6,0,600.36,1,0,
71.561562,8.6,38.6,836,20,5,0,615.43,1,0,
71.381386,7,38.6,2331,20,6,0,499.67,1,0,
71.531532,8.8,38.63,1981,20,5,0,629.48,1,0,
71.561562,6.4,38.66,2028,20,5,0,457.99,1,0,
71.531532,7.8,38.66,1985,20,5,0,557.95,1,0,
71.411415,6.6,38.75,1921,20,5,0,471.32,1,0,
71.471474,8.8,38.81,1466,20,5,0,628.95,1,0,
71.561562,7.6,38.87,729,20,5,0,543.87,1,0,
71.411415,9.8,38.93,1452,20,6,0,699.83,1,0,
71.531532,8.8,38.98,760,20,5,0,629.48,1,0,
71.351357,6.8,38.98,2269,20,6,0,485.19,1,0,
71.531532,8.2,39.01,1982,20,5,0,586.56,1,0,
71.531532,6.8,39.07,1982,20,5,0,486.41,1,0,
71.591591,7.8,39.13,1981,20,5,0,558.41,1,0,
71.561562,6.8,39.13,1937,20,5,0,486.62,1,0,
71.561562,9,39.16,1862,20,5,0,644.05,1,0,
71.531532,7.2,39.19,1654,20,5,0,515.03,1,0,
71.651657,9.6,39.22,1286,20,5,0,687.86,1,0,
71.711716,8,39.25,731,20,5,0,573.69,1,0,
