"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 6"
"Sample Count: 348"
"Start Time: 20/11/2025 13:04:02.7"
"Scan Rate: 1.65600001811981"
"Sample","Time (s)","PHC-inner (°C)","PHA-inner (°C)","PHA-interface (°C)","Ext-above-PHA (°C)","Ambient (°C)","Ext-above-PHC (°C)"
"0","0:00.0","22.071","22.338","22.375","22.509","21.847","22.076"
"1","0:00.6","22.064","22.336","22.373","22.424","21.842","22.074"
"2","0:01.2","22.064","22.334","22.375","22.408","21.843","22.080"
"3","0:01.8","22.068","22.332","22.368","22.401","21.845","22.082"
"4","0:02.4","22.068","22.333","22.371","22.394","21.844","22.087"
"5","0:03.0","22.065","22.335","22.375","22.393","21.847","22.080"
"6","0:03.6","22.060","22.333","22.378","22.390","21.843","22.086"
"7","0:04.2","22.062","22.328","22.377","22.383","20.141","21.988"
"8","0:04.8","22.108","22.202","22.099","-9999.000","21.085","21.995"
"9","0:05.4","21.985","22.361","22.269","-9999.000","21.074","22.110"
"10","0:06.0","22.017","22.388","22.345","-149.523","21.192","21.918"
"11","0:06.6","22.384","22.611","22.328","-81.450","21.180","21.978"
"12","0:07.2","22.663","22.855","22.358","-124.952","21.126","22.016"
"13","0:07.9","22.979","23.165","22.348","-97.957","21.122","22.061"
"14","0:08.5","23.259","23.593","22.324","-108.102","21.084","22.056"
"15","0:09.1","23.862","23.988","22.390","-50.572","21.117","22.091"
"16","0:09.7","24.116","24.453","22.415","-103.857","20.919","22.193"
"17","0:10.3","24.811","24.907","22.436","-77.592","19.765","22.228"
"18","0:10.9","25.316","25.383","22.416","-92.885","21.236","22.209"
"19","0:11.5","25.822","25.852","22.492","-89.906","21.222","22.278"
"20","0:12.1","26.269","26.501","22.528","-63.554","21.136","22.280"
"21","0:12.7","26.884","27.068","22.511","-76.554","21.166","22.373"
"22","0:13.3","27.505","27.535","22.592","-21.587","21.116","22.372"
"23","0:13.9","28.134","28.120","22.656","-92.497","21.139","22.215"
"24","0:14.5","28.624","28.865","22.695","-117.474","21.098","22.407"
"25","0:15.1","29.451","29.498","22.691","-71.655","21.199","22.518"
"26","0:15.7","30.094","30.107","22.793","-21.176","21.175","22.572"
