Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 3620885024
71.651657,2.6,27.41,2687,4,2,0,186.29,1,0,
71.591591,2.4,27.41,2122,4,3,0,171.82,1,0,
71.62162,4.4,27.41,1989,5,3,0,315.14,1,0,
71.651657,5.4,27.41,1970,4,4,0,386.92,1,0,
71.501503,7.4,27.41,1981,5,5,0,529.11,1,0,
71.531532,6.4,27.41,2005,4,4,0,457.8,1,0,
71.471474,7,27.41,1915,5,5,0,500.3,1,0,
71.501503,6.6,27.41,1931,4,4,0,471.91,1,0,
71.981987,6,27.41,1851,5,5,0,431.89,1,0,
71.531532,7.6,27.41,1979,4,4,0,543.64,1,0,
71.441444,7,27.41,2014,4,5,0,500.09,1,0,
72.132133,8,27.41,2247,5,5,0,577.06,1,0,
71.62162,6.4,27.41,2267,5,5,0,458.38,1,0,
72.102104,7.2,27.41,2863,5,5,0,519.14,1,0,
71.441444,6,27.43,2795,5,5,0,428.65,1,0,
71.441444,8.6,27.46,2692,5,5,0,614.4,1,0,
71.501503,7.2,27.51,2210,5,5,0,514.81,1,0,
71.471474,9.2,27.59,1047,5,5,0,657.54,1,0,
71.561562,8.8,27.66,940,5,5,0,629.74,1,0,
71.471474,7.8,27.72,1002,6,5,0,557.48,1,0,
71.531532,10,27.77,882,6,5,0,715.32,1,0,
71.891891,6.8,27.84,1856,5,5,0,488.86,1,0,
71.831833,9.8,27.95,1837,5,5,0,703.95,1,0,
71.471474,6.6,28,1933,5,5,0,471.71,1,0,
71.501503,8.4,28.02,1922,5,5,0,600.61,1,0,
71.471474,7,28.13,1939,5,5,0,500.3,1,0,
71.501503,9,28.15,2032,5,5,0,643.51,1,0,
71.531532,8.2,28.26,2004,5,5,0,586.56,1,0,
71.561562,7.6,28.31,1915,5,5,0,543.87,1,0,
71.561562,8.4,28.38,2077,5,5,0,601.12,1,0,
71.441444,8,28.44,2235,5,5,0,571.53,1,0,
71.561562,8,28.51,2064,5,5,0,572.49,1,0,
71.531532,6.6,28.57,2056,5,5,0,472.11,1,0,
71.531532,7.6,28.62,2137,5,5,0,543.64,1,0,
71.501503,6.6,28.72,2058,5,5,0,471.91,1,0,
71.711716,8,28.75,2191,5,5,0,573.69,1,0,
71.591591,7.4,28.82,2058,5,5,0,529.78,1,0,
71.681686,8.6,28.9,2175,5,5,0,616.46,1,0,
71.591591,8,28.93,2220,5,5,0,572.73,1,0,
71.261261,7,29.01,2246,5,5,0,498.83,1,0,
71.561562,8.2,29.08,2090,5,5,0,586.8,1,0,
71.471474,7.4,29.16,2165,5,5,0,528.89,1,0,
71.711716,7.8,29.19,2053,5,5,0,559.35,1,0,
71.651657,6,29.24,2037,5,5,0,429.91,1,0,
71.501503,8.2,29.29,1923,5,5,0,586.31,1,0,
71.681686,6.4,29.37,1815,6,5,0,458.76,1,0,
71.591591,8.8,29.4,930,5,5,0,630.01,1,0,
71.561562,7.4,29.45,960,6,5,0,529.56,1,0,
71.411415,10.2,29.5,968,5,5,0,728.4,1,0,
71.531532,8.6,29.6,1038,6,5,0,615.17,1,0,
71.471474,8,29.63,2651,5,5,0,571.77,1,0,
71.561562,8.2,29.68,2358,6,5,0,586.8,1,0,
71.441444,7.4,29.74,2647,5,5,0,528.67,1,0,
71.501503,8.4,29.79,2219,6,5,0,600.61,1,0,
71.531532,6.2,29.81,2143,5,5,0,443.5,1,0,
71.711716,7.8,29.89,2085,6,5,0,559.35,1,0,
71.561562,7,29.92,2055,5,5,0,500.93,1,0,
71.591591,9.4,29.97,1924,5,5,0,672.96,1,0,
71.771774,7.2,30,1897,5,5,0,516.76,1,0,
71.501503,8,30.08,1068,5,5,0,572.01,1,0,
71.531532,9,30.13,810,5,5,0,643.78,1,0,
71.411415,8,30.15,2639,5,6,0,571.29,1,0,
71.531532,8.2,30.21,2246,5,5,0,586.56,1,0,
71.471474,6.8,30.26,2292,5,5,0,486.01,1,0,
71.561562,8,30.31,2260,5,5,0,572.49,1,0,
71.561562,6.2,30.36,1992,5,5,0,443.68,1,0,
71.591591,9,30.36,940,5,5,0,644.32,1,0,
71.591591,7,30.39,953,5,5,0,501.14,1,0,
71.171173,7.8,30.47,2136,5,5,0,555.14,1,0,
71.561562,7.2,30.5,2302,5,5,0,515.24,1,0,
71.441444,8.4,30.58,1965,5,5,0,600.11,1,0,
71.501503,8.2,30.58,1952,5,5,0,586.31,1,0,
71.381386,6.6,30.63,1927,5,5,0,471.12,1,0,
71.501503,11,30.68,935,5,5,0,786.52,1,0,
71.471474,7.2,30.71,2555,5,5,0,514.59,1,0,
71.381386,8.4,30.79,2058,5,5,0,599.6,1,0,
71.921921,6.2,30.81,2271,5,5,0,445.92,1,0,
71.531532,8.6,30.84,1971,5,5,0,615.17,1,0,
71.561562,7.6,30.89,1738,5,5,0,543.87,1,0,
71.441444,9.4,30.92,1277,5,5,0,671.55,1,0,
71.561562,8.2,30.92,2458,5,5,0,586.8,1,0,
71.501503,7.8,30.97,1714,5,5,0,557.71,1,0,
71.531532,8.6,31.02,2254,5,5,0,615.17,1,0,
71.62162,6.8,31.05,1990,5,5,0,487.03,1,0,
71.531532,9.2,31.13,2020,5,5,0,658.09,1,0,
71.501503,6.8,31.16,2140,5,5,0,486.21,1,0,
71.591591,8.8,31.16,2202,5,5,0,630.01,1,0,
72.042046,6.6,31.24,1870,5,5,0,475.48,1,0,
71.351357,7.8,31.24,2012,5,5,0,556.54,1,0,
71.591591,7,31.26,2145,5,5,0,501.14,1,0,
71.171173,7,31.32,2280,5,5,0,498.2,1,0,
71.531532,9.4,31.37,758,5,5,0,672.4,1,0,
71.471474,7.6,31.37,1823,5,5,0,543.18,1,0,
71.561562,8.2,31.4,2194,5,5,0,586.8,1,0,
71.411415,6.2,31.42,1935,6,5,0,442.75,1,0,
