"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 7"
"Sample Count: 278"
"Start Time: 20/11/2025 15:09:57.4"
"Scan Rate: 1.4190000295639"
"Sample","Time (s)","PHC-inner (°C)","PHA-inner (°C)","PHA-interface (°C)","Ext-above-PHA (°C)","Ambient (°C)","Ext-above-PHC (°C)","Ext-above-PHA-tc2 (°C)"
"0","0:00.0","18.714","18.996","18.919","19.048","19.763","18.629","18.861"
"1","0:00.7","18.715","18.997","18.913","18.975","19.763","18.622","18.858"
"2","0:01.4","18.712","18.993","18.905","18.957","19.760","18.612","18.846"
"3","0:02.1","18.712","18.994","18.897","18.960","19.766","18.607","18.833"
"4","0:02.8","18.711","18.997","18.890","18.955","19.771","18.607","18.826"
"5","0:03.5","18.706","18.989","18.891","18.942","19.773","18.605","18.805"
"6","0:04.2","18.705","18.989","18.894","18.948","18.405","18.134","18.690"
"7","0:04.9","18.640","18.864","18.754","-137.760","19.151","18.478","18.774"
"8","0:05.6","18.695","19.078","18.856","-141.104","19.513","18.439","18.788"
"9","0:06.3","18.987","19.548","18.852","-138.670","19.075","18.492","18.770"
"10","0:07.0","19.499","20.029","18.889","-101.425","18.895","18.580","18.751"
"11","0:07.8","20.070","20.629","18.881","-98.978","17.603","18.635","18.835"
"12","0:08.5","20.680","21.237","18.855","-108.879","18.878","18.658","18.837"
"13","0:09.2","21.308","21.932","18.927","-115.549","19.072","18.686","18.920"
"14","0:09.9","21.950","22.631","18.967","-107.102","18.931","18.695","18.779"
"15","0:10.6","22.833","23.403","19.000","-97.531","19.014","18.713","18.999"
"16","0:11.3","23.530","24.060","19.038","-91.523","19.012","18.734","19.033"
"17","0:12.0","24.190","24.940","19.074","-72.874","17.871","18.669","19.112"
"18","0:12.7","24.967","25.749","19.125","-68.316","18.938","18.825","19.133"
"19","0:13.4","26.059","26.502","19.172","-65.764","19.090","18.904","19.197"
"20","0:14.1","26.748","27.416","19.262","-51.955","18.998","18.924","19.335"
"21","0:14.8","27.529","28.126","19.244","-52.401","19.021","18.972","19.396"
"22","0:15.5","28.380","28.923","19.372","-68.302","19.191","19.075","19.417"
"23","0:16.2","29.190","29.809","19.422","-116.865","18.924","19.259","19.510"
"24","0:16.9","30.352","30.625","19.493","-107.239","18.900","19.283","19.483"
"25","0:17.6","31.181","31.545","19.625","-58.337","19.049","19.367","19.735"
"26","0:18.3","32.029","32.270","19.606","-65.518","19.068","19.455","19.874"
"27","0:19.0","32.769","33.136","19.795","-85.085","18.989","19.628","19.996"
"28","0:19.7","33.245","34.051","19.872","-95.810","17.714","19.749","20.087"
"29","0:20.4","34.171","34.991","20.014","-98.789","19.040","19.759","20.216"
"30","0:21.1","35.072","35.863","20.142","-91.624","18.949","19.867","20.316"
"31","0:21.8","36.060","36.653","20.213","-69.077","18.940","20.013","20.493"
"32","0:22.6","36.850","37.405","20.350","-72.397","19.219","20.105","20.474"
"33","0:23.3","37.363","38.167","20.475","-95.862","19.171","20.372","20.773"
"34","0:24.0","38.027","38.934","20.532","-76.795","19.040","20.533","20.800"
"35","0:24.7","38.968","39.738","20.783","-85.304","18.961","20.651","21.090"
"36","0:25.4","40.025","40.405","20.964","-70.833","19.084","20.723","21.341"
"37","0:26.1","40.774","41.070","21.135","-78.540","19.133","20.882","21.475"
"38","0:26.8","41.450","41.926","21.269","-75.808","19.135","21.172","21.697"
"39","0:27.5","42.118","42.677","21.426","-94.383","19.184","21.360","21.889"
"40","0:28.2","42.804","43.522","21.606","-88.557","17.832","21.503","22.119"
"41","0:28.9","43.791","44.426","21.762","-51.022","19.110","21.528","22.330"
"42","0:29.6","44.764","44.970","21.971","-43.351","19.055","21.775","22.496"
"43","0:30.3","45.489","45.856","22.150","-63.672","19.206","21.913","22.717"
"44","0:31.0","46.068","46.710","22.331","-79.184","19.189","22.123","22.959"
"45","0:31.7","46.909","47.648","22.564","-83.907","19.070","22.473","23.079"
"46","0:32.4","47.841","48.476","22.773","-66.587","18.909","22.652","23.403"
"47","0:33.1","48.706","49.161","22.970","-51.948","18.265","22.570","23.549"
"48","0:33.8","49.473","49.976","23.165","-70.232","19.162","23.046","23.668"
"49","0:34.5","50.030","50.783","23.328","-80.092","19.154","23.295","24.001"
"50","0:35.2","50.794","51.571","23.491","-85.456","19.595","23.592","24.162"
"51","0:35.9","51.589","52.438","23.723","-60.398","19.051","23.778","24.460"
"52","0:36.6","52.605","53.169","23.944","-41.711","19.111","23.967","24.700"
"53","0:37.4","53.413","54.152","24.172","-40.986","19.475","24.128","24.907"
"54","0:38.1","54.020","54.731","24.379","-64.804","19.128","24.452","25.168"
"55","0:38.8","54.668","55.881","24.562","-68.721","19.101","24.770","25.421"
"56","0:39.5","55.444","56.592","24.741","-61.605","18.428","24.878","25.662"
"57","0:40.2","56.359","57.476","25.041","-50.649","19.219","25.047","25.736"
"58","0:40.9","57.215","58.217","25.312","-56.925","19.255","25.168","26.166"
"59","0:41.6","57.968","58.917","25.567","-51.461","19.382","25.076","26.437"
"60","0:42.3","58.445","59.760","25.805","-70.551","19.260","25.613","26.759"
"61","0:43.0","59.152","60.658","26.058","-73.560","19.162","25.900","26.960"
"62","0:43.7","59.929","61.372","26.312","-38.315","19.277","25.789","27.331"
"63","0:44.4","60.902","62.029","26.558","-41.655","19.153","26.363","27.471"
"64","0:45.1","61.658","62.680","26.721","-53.530","19.069","26.652","27.822"
"65","0:45.8","62.327","63.240","27.069","-56.277","19.605","26.389","28.139"
"66","0:46.5","62.808","63.941","27.331","-32.617","19.028","27.095","28.486"
"67","0:47.2","63.524","64.555","27.575","-32.624","19.095","27.433","28.715"
"68","0:47.9","64.244","65.121","27.919","-14.382","19.197","27.394","29.026"
"69","0:48.6","65.024","65.658","28.229","-1.797","19.064","27.935","29.273"
"70","0:49.3","65.708","65.865","28.543","-4.687","19.016","28.096","29.588"
"71","0:50.0","66.629","66.228","28.850","-12.599","19.059","28.466","29.974"
"72","0:50.7","67.323","66.636","29.130","-29.434","19.138","28.727","30.307"
"73","0:51.4","67.740","67.132","29.443","-25.005","19.127","29.024","30.633"
"74","0:52.1","68.417","67.804","29.702","-18.810","19.484","29.334","30.992"
"75","0:52.9","69.396","68.287","30.020","4.435","19.804","29.599","31.373"
"76","0:53.6","70.146","68.823","30.268","-18.503","18.978","29.890","31.854"
"77","0:54.3","70.803","69.518","30.542","-25.812","19.043","30.225","32.217"
"78","0:55.0","71.125","70.272","30.873","-15.942","19.604","30.470","32.541"
"79","0:55.7","71.890","70.830","31.243","-6.458","19.091","30.591","32.861"
"80","0:56.4","72.790","71.480","31.528","24.507","19.051","30.902","33.161"
"81","0:57.1","73.632","72.142","31.793","21.721","19.142","31.243","33.433"
"82","0:57.8","74.296","72.686","32.065","12.411","19.033","31.671","33.769"
