Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 3620885024
71.681686,1.6,21.39,443,2,2,0,114.69,1,0,
71.651657,1.4,21.39,870,4,2,0,100.31,1,0,
71.62162,3.2,21.39,2208,5,3,0,229.19,1,0,
71.591591,3.8,21.39,1083,5,3,0,272.05,1,0,
71.411415,9.2,21.39,2662,5,5,0,656.99,1,0,
71.501503,8,21.39,1143,5,5,0,572.01,1,0,
71.501503,8.2,21.39,1025,5,5,0,586.31,1,0,
71.501503,9.6,21.39,1658,6,5,0,686.41,1,0,
71.381386,6.6,21.39,1918,5,5,0,471.12,1,0,
71.501503,9.2,21.39,2011,5,5,0,657.81,1,0,
71.441444,6,21.39,2159,6,5,0,428.65,1,0,
71.981987,8.2,21.39,2242,6,5,0,590.25,1,0,
71.32132,6,21.39,2283,6,5,0,427.93,1,0,
71.411415,11.2,21.42,2054,7,5,0,799.81,1,0,
71.591591,6.4,21.44,2317,7,5,0,458.19,1,0,
71.351357,11.2,21.49,2505,8,6,0,799.14,1,0,
71.411415,6.8,21.59,2868,8,5,0,485.6,1,0,
71.351357,9.6,21.67,2782,9,6,0,684.97,1,0,
71.501503,9.4,21.74,1348,8,5,0,672.11,1,0,
71.381386,7.6,21.79,1147,9,5,0,542.5,1,0,
71.471474,10.2,21.91,979,9,5,0,729.01,1,0,
71.411415,6,21.91,1030,11,5,0,428.47,1,0,
71.501503,11,22.01,1575,10,5,0,786.52,1,0,
71.831833,6.2,22.11,1905,12,5,0,445.36,1,0,
71.201202,7,22.14,1917,12,5,0,498.41,1,0,
71.471474,7,22.21,1936,12,5,0,500.3,1,0,
71.501503,9.4,22.26,1931,13,6,0,672.11,1,0,
71.591591,8.6,22.33,2083,14,5,0,615.69,1,0,
71.081085,7.8,22.46,2283,14,6,0,554.43,1,0,
71.681686,7,22.48,2275,15,5,0,501.77,1,0,
71.32132,7.4,22.56,2348,15,6,0,527.78,1,0,
71.471474,9.6,22.66,2169,16,5,0,686.13,1,0,
71.411415,6.4,22.73,2279,16,5,0,457.03,1,0,
71.651657,9.2,22.8,2154,17,5,0,659.2,1,0,
71.441444,6.6,22.83,2232,17,5,0,471.51,1,0,
71.411415,10.4,22.9,2073,18,6,0,742.68,1,0,
71.62162,6.8,22.95,2306,19,5,0,487.03,1,0,
71.261261,9.6,23.03,2208,19,6,0,684.11,1,0,
71.471474,7.8,23.13,2292,20,5,0,557.48,1,0,
71.471474,7.8,23.15,1939,21,6,0,557.48,1,0,
71.561562,8.4,23.23,2169,22,5,0,601.12,1,0,
71.261261,6.4,23.3,2344,23,6,0,456.07,1,0,
72.102104,8.8,23.35,2183,23,5,0,634.5,1,0,
71.471474,6.4,23.42,2024,24,5,0,457.42,1,0,
71.351357,8.4,23.47,1903,25,5,0,599.35,1,0,
71.471474,7.2,23.55,1971,25,5,0,514.59,1,0,
71.32132,10.4,23.57,1959,26,6,0,741.74,1,0,
71.501503,8,23.65,883,27,5,0,572.01,1,0,
71.561562,8.2,23.72,967,29,5,0,586.8,1,0,
71.651657,8.8,23.77,902,29,5,0,630.53,1,0,
71.351357,7.6,23.8,1063,30,5,0,542.27,1,0,
71.501503,8.6,23.87,2313,30,5,0,614.91,1,0,
71.411415,6.4,23.92,2509,31,5,0,457.03,1,0,
71.501503,10.2,24,1728,32,5,0,729.32,1,0,
71.861862,6.2,24.02,2260,33,5,0,445.54,1,0,
71.29129,9.6,24.1,2228,34,5,0,684.4,1,0,
71.501503,7.6,24.15,2004,36,5,0,543.41,1,0,
71.261261,10.4,24.17,2004,37,6,0,741.12,1,0,
71.471474,9,24.2,1736,39,5,0,643.24,1,0,
71.32132,8.8,24.27,1856,39,6,0,627.63,1,0,
