"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 5"
"Sample Count: 134"
"Start Time: 20/11/2025 16:56:41.5"
"Scan Rate: 1.4190000295639"
"Sample","Time (s)","Housing (°C)","Winding2 (°C)","Ambient (°C)","Stator Inner (°C)","Winding Temp (°C)"
"0","0:00.0","21.936","21.970","20.647","21.832","22.044"
"1","0:00.7","21.927","21.965","20.649","21.832","22.043"
"2","0:01.4","21.926","21.960","20.654","21.829","22.043"
"3","0:02.1","21.927","21.962","20.654","21.836","22.043"
"4","0:02.8","21.933","21.967","20.657","21.837","22.048"
"5","0:03.5","21.933","21.966","20.659","21.837","22.049"
"6","0:04.2","21.931","21.965","20.656","21.830","22.044"
"7","0:04.9","21.934","21.963","20.652","21.835","22.048"
"8","0:05.6","21.939","21.965","20.657","21.837","22.051"
"9","0:06.3","21.942","21.967","20.660","21.837","22.052"
"10","0:07.0","21.942","21.966","20.660","21.840","22.055"
"11","0:07.8","21.944","21.962","20.661","21.840","22.061"
"12","0:08.5","21.946","21.956","20.658","21.833","22.058"
"13","0:09.2","21.943","21.962","20.658","21.839","22.059"
"14","0:09.9","22.007","22.022","20.657","21.822","22.056"
"15","0:10.6","21.991","22.052","20.645","21.807","22.268"
"16","0:11.3","21.988","22.117","20.654","21.848","23.153"
"17","0:12.0","21.986","22.444","20.642","21.923","24.533"
"18","0:12.7","21.990","22.972","20.652","22.174","26.382"
"19","0:13.4","22.007","23.592","20.649","22.406","28.663"
"20","0:14.1","22.019","24.412","20.651","22.736","30.944"
"21","0:14.8","22.039","25.357","20.653","23.149","33.293"
"22","0:15.5","22.076","26.426","20.658","23.726","35.678"
"23","0:16.2","22.116","27.645","20.655","24.262","38.079"
"24","0:16.9","22.174","28.915","20.650","24.933","40.431"
"25","0:17.6","22.238","30.251","20.657","25.564","42.971"
"26","0:18.3","22.313","31.638","20.655","26.320","45.298"
"27","0:19.0","22.399","32.993","20.663","27.139","47.641"
"28","0:19.7","22.494","34.340","20.661","27.945","50.123"
"29","0:20.4","22.606","35.805","20.654","28.797","52.606"
"30","0:21.1","22.717","37.291","20.654","29.683","54.998"
"31","0:21.8","22.840","38.695","20.658","30.634","57.263"
"32","0:22.6","22.983","40.146","20.665","31.577","59.500"
"33","0:23.3","23.146","41.561","20.663","32.537","61.825"
"34","0:24.0","23.319","42.910","20.659","33.525","64.110"
"35","0:24.7","23.494","44.351","20.657","34.482","66.362"
"36","0:25.4","23.684","45.696","20.661","35.488","68.439"
"37","0:26.1","23.885","46.922","20.671","36.477","70.524"
"38","0:26.8","24.093","48.250","20.670","37.531","72.532"
"39","0:27.5","24.317","49.692","20.667","38.569","74.678"
"40","0:28.2","24.556","50.927","20.672","39.661","76.787"
"41","0:28.9","24.813","52.219","20.675","40.645","78.823"
"42","0:29.6","25.084","53.568","20.670","41.687","80.880"
"43","0:30.3","25.366","54.868","20.674","42.728","82.798"
"44","0:31.0","25.662","55.922","20.676","43.726","84.589"
"45","0:31.7","25.966","57.186","20.676","44.714","86.478"
"46","0:32.4","26.266","58.363","20.680","45.841","88.372"
"47","0:33.1","26.557","59.706","20.681","46.925","90.226"
"48","0:33.8","26.885","61.247","20.686","48.047","92.157"
"49","0:34.5","27.229","62.204","20.682","49.007","94.083"
"50","0:35.2","27.583","63.816","20.682","50.169","95.712"
"51","0:35.9","27.937","64.902","20.683","51.262","97.571"
"52","0:36.6","28.312","66.063","20.681","52.261","99.189"
"53","0:37.4","28.691","66.960","20.680","53.449","100.738"
"54","0:38.1","29.082","68.552","20.677","54.465","102.387"
"55","0:38.8","29.483","69.215","20.686","55.669","103.804"
"56","0:39.5","29.904","70.038","20.684","56.555","105.095"
"57","0:40.2","30.320","71.047","20.695","57.510","106.144"
"58","0:40.9","30.724","71.974","20.697","58.372","107.350"
"59","0:41.6","31.152","73.056","20.698","59.378","108.451"
"60","0:42.3","31.597","74.292","20.702","60.335","109.815"
"61","0:43.0","32.072","75.230","20.701","61.427","110.863"
"62","0:43.7","32.545","76.090","20.703","62.439","112.169"
"63","0:44.4","33.026","76.740","20.711","63.434","113.391"
"64","0:45.1","33.507","77.510","20.704","64.442","114.425"
"65","0:45.8","33.982","78.472","20.704","65.358","115.722"
"66","0:46.5","34.482","79.599","20.713","66.460","116.748"
"67","0:47.2","34.974","80.411","20.706","67.211","117.812"
"68","0:47.9","35.483","80.747","20.718","67.936","118.964"
"69","0:48.6","35.979","81.099","20.713","68.962","119.975"
"70","0:49.3","36.477","81.584","20.722","70.146","121.189"
"71","0:50.0","37.005","82.131","20.714","71.294","121.892"
"72","0:50.7","37.488","82.796","20.724","72.292","122.775"
"73","0:51.4","38.035","83.496","20.730","73.343","123.607"
"74","0:52.1","38.553","84.270","20.719","74.447","124.373"
"75","0:52.9","39.120","85.073","20.721","75.477","125.321"
"76","0:53.6","39.697","85.828","20.724","76.488","126.056"
"77","0:54.3","40.281","86.467","20.731","77.505","127.015"
"78","0:55.0","40.908","87.194","20.729","78.590","127.406"
"79","0:55.7","41.548","87.832","20.733","79.554","128.071"
"80","0:56.4","42.163","88.519","20.732","80.455","128.304"
"81","0:57.1","42.767","89.151","20.729","81.337","128.821"
"82","0:57.8","43.410","89.583","20.730","82.556","128.997"
"83","0:58.5","44.026","89.651","20.730","83.649","129.359"
"84","0:59.2","44.645","90.161","20.733","84.646","129.344"
"85","0:59.9","45.256","90.632","20.735","85.658","129.522"
"86","1:00.6","45.899","90.494","20.740","86.393","129.339"
"87","1:01.3","46.517","89.912","20.736","87.085","129.214"
"88","1:02.0","47.115","89.943","20.741","88.125","128.954"
"89","1:02.7","47.730","89.867","20.739","89.099","128.668"
"90","1:03.4","48.353","89.524","20.743","90.098","128.147"
"91","1:04.1","48.897","89.653","20.738","91.051","127.642"
"92","1:04.8","49.539","89.575","20.740","92.114","126.925"
"93","1:05.5","50.162","89.783","20.738","93.133","125.887"
"94","1:06.2","50.705","90.292","20.740","94.390","124.191"
"95","1:06.9","51.311","90.908","20.735","95.445","122.431"
"96","1:07.7","52.028","91.430","20.743","96.591","120.773"
"97","1:08.4","52.690","91.996","20.742","97.220","119.327"
"98","1:09.1","53.276","92.781","20.748","98.263","117.729"
"99","1:09.8","53.836","93.747","20.747","99.314","116.438"
"100","1:10.5","54.406","94.161","20.753","100.504","115.072"
"101","1:11.2","54.994","94.501","20.754","101.311","113.655"
"102","1:11.9","55.550","94.799","20.759","102.577","112.156"
"103","1:12.6","56.096","95.018","20.759","103.600","110.649"
"104","1:13.3","56.697","95.121","20.768","104.499","108.691"
"105","1:14.0","57.292","95.192","20.766","105.196","107.413"
"106","1:14.7","57.849","95.171","20.773","106.128","106.156"
"107","1:15.4","58.350","95.425","20.773","107.100","104.966"
"108","1:16.1","58.952","95.888","20.770","108.125","103.939"
"109","1:16.8","59.578","96.436","20.759","109.164","102.891"
"110","1:17.5","60.165","96.878","20.792","110.288","101.290"
"111","1:18.2","60.657","97.180","20.793","111.153","100.866"
"112","1:18.9","61.152","97.136","20.796","111.563","98.362"
"113","1:19.6","61.649","97.061","20.799","112.311","94.584"
"114","1:20.3","62.188","96.971","20.812","112.835","91.039"
"115","1:21.0","62.735","96.814","20.808","113.007","87.732"
"116","1:21.7","63.300","96.372","20.815","113.030","84.503"
"117","1:22.5","63.781","95.958","20.821","112.703","82.029"
"118","1:23.2","64.192","95.751","20.821","112.491","79.412"
"119","1:23.9","64.685","95.390","20.821","112.275","76.592"
"120","1:24.6","65.193","94.614","20.822","111.948","73.906"
"121","1:25.3","65.643","93.714","20.828","111.495","71.059"
"122","1:26.0","66.123","92.437","20.825","110.800","70.505"
"123","1:26.7","66.173","92.303","20.831","110.218","69.240"
"124","1:27.4","66.496","91.605","20.847","108.710","68.231"
"125","1:28.1","66.822","91.297","20.868","108.326","66.395"
"126","1:28.8","67.107","90.396","20.871","107.961","65.380"
"127","1:29.5","67.709","89.459","20.871","107.259","64.413"
"128","1:30.2","68.290","88.983","20.876","106.613","63.100"
"129","1:30.9","68.710","88.742","20.872","105.809","61.977"
"130","1:31.6","68.944","88.489","20.866","105.456","61.073"
"131","1:32.3","69.235","87.980","20.867","104.708","59.790"
"132","1:33.0","69.654","87.317","20.865","103.902","58.903"
"133","1:33.7","70.107","86.447","20.865","103.574","58.114"
