"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 5"
"Sample Count: 185"
"Start Time: 20/11/2025 18:21:10.8"
"Scan Rate: 1.4190000295639"
"Sample","Time (s)","Stator Body (°C)","Winding2 (°C)","Ambient (°C)","Stator Inner (°C)","Winding Temp (°C)"
"0","0:00.0","28.123","28.562","21.933","28.373","28.451"
"1","0:00.7","28.119","28.562","21.933","28.360","28.448"
"2","0:01.4","28.112","28.561","21.934","28.353","28.446"
"3","0:02.1","28.099","28.552","21.929","28.308","28.429"
"4","0:02.8","28.089","28.536","21.923","28.255","28.404"
"5","0:03.5","28.060","28.524","21.927","28.218","28.390"
"6","0:04.2","28.055","28.510","21.921","28.205","28.368"
"7","0:04.9","28.041","28.496","21.917","28.214","28.359"
"8","0:05.6","28.044","28.491","21.917","28.233","28.348"
"9","0:06.3","28.041","28.485","21.912","28.250","28.347"
"10","0:07.0","28.049","28.475","21.901","28.252","28.335"
"11","0:07.8","28.035","28.556","21.892","28.289","29.393"
"12","0:08.5","28.026","28.926","21.879","28.314","31.628"
"13","0:09.2","28.012","29.688","21.878","28.416","34.587"
"14","0:09.9","28.011","30.695","21.872","28.544","37.896"
"15","0:10.6","28.028","31.919","21.875","28.807","41.328"
"16","0:11.3","28.053","33.331","21.879","29.198","44.788"
"17","0:12.0","28.073","34.840","21.878","29.710","48.102"
"18","0:12.7","28.103","36.428","21.877","30.278","51.276"
"19","0:13.4","28.154","38.000","21.875","30.823","54.275"
"20","0:14.1","28.216","39.613","21.872","31.489","57.067"
"21","0:14.8","28.281","41.195","21.873","32.236","59.645"
"22","0:15.5","28.361","42.719","21.867","32.906","62.208"
"23","0:16.2","28.428","44.292","21.866","33.674","64.609"
"24","0:16.9","28.515","45.810","21.869","34.475","66.878"
"25","0:17.6","28.607","47.324","21.864","35.314","69.163"
"26","0:18.3","28.716","48.789","21.861","36.146","71.356"
"27","0:19.0","28.829","50.243","21.861","36.979","73.416"
"28","0:19.7","28.951","51.662","21.854","37.808","75.393"
"29","0:20.4","29.129","53.080","21.906","38.698","77.283"
"30","0:21.1","29.272","54.433","21.905","39.543","79.106"
"31","0:21.8","29.387","55.715","21.914","40.379","80.765"
"32","0:22.6","29.612","56.993","21.913","41.182","82.424"
"33","0:23.3","29.765","58.224","21.908","41.896","83.972"
"34","0:24.0","29.935","59.437","21.911","42.701","85.520"
