"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 3"
"Sample Count: 709"
"Start Time: 19/11/2025 16:36:52.6"
"Scan Rate: 3.31200003623962"
"Sample","Time (s)","Winding Temp (°C)","Ambient (°C)","Stator Body (°C)"
"0","0:00.0","24.852","20.697","24.789"
"1","0:00.3","24.850","20.631","24.810"
"2","0:00.6","24.850","20.622","24.822"
"3","0:00.9","24.852","20.630","24.839"
"4","0:01.2","24.848","20.633","24.829"
"5","0:01.5","24.845","20.632","24.832"
"6","0:01.8","24.846","20.626","24.825"
"7","0:02.1","24.836","20.633","24.804"
"8","0:02.4","24.841","20.638","24.799"
"9","0:02.7","24.844","20.648","24.812"
"10","0:03.0","24.843","20.647","24.814"
"11","0:03.3","24.845","20.653","24.807"
"12","0:03.6","24.845","20.652","24.799"
"13","0:03.9","24.835","20.643","24.819"
"14","0:04.2","24.829","20.643","24.828"
"15","0:04.5","24.816","20.650","24.805"
"16","0:04.8","24.824","20.660","24.803"
"17","0:05.1","24.817","20.660","24.802"
"18","0:05.4","24.809","20.657","24.803"
"19","0:05.7","24.810","20.635","24.798"
"20","0:06.0","24.802","20.644","24.794"
"21","0:06.3","24.801","20.645","24.793"
"22","0:06.6","24.795","20.646","24.784"
"23","0:06.9","24.793","20.658","24.790"
"24","0:07.2","24.791","20.656","24.793"
"25","0:07.5","24.788","20.656","24.804"
"26","0:07.9","24.799","20.660","24.815"
"27","0:08.2","24.809","20.660","24.809"
"28","0:08.5","24.801","20.649","24.828"
"29","0:08.8","24.839","20.649","24.832"
"30","0:09.1","24.908","20.643","24.819"
"31","0:09.4","25.015","20.644","24.826"
"32","0:09.7","25.152","20.637","24.819"
"33","0:10.0","25.309","20.653","24.810"
"34","0:10.3","25.477","20.656","24.806"
"35","0:10.6","25.654","20.647","24.814"
"36","0:10.9","25.853","20.640","24.836"
"37","0:11.2","26.073","20.644","24.841"
"38","0:11.5","26.298","20.639","24.858"
"39","0:11.8","26.542","20.637","24.859"
"40","0:12.1","26.788","20.652","24.858"
"41","0:12.4","27.035","20.654","24.851"
"42","0:12.7","27.286","20.646","24.857"
"43","0:13.0","27.544","20.642","24.858"
"44","0:13.3","27.803","20.636","24.859"
"45","0:13.6","28.073","20.643","24.858"
"46","0:13.9","28.350","20.636","24.845"
"47","0:14.2","28.594","20.640","24.844"
"48","0:14.5","28.871","20.628","24.859"
"49","0:14.8","29.171","20.628","24.867"
"50","0:15.1","29.461","20.623","24.862"
"51","0:15.4","29.735","20.618","24.854"
"52","0:15.7","30.008","20.615","24.859"
"53","0:16.0","30.297","20.621","24.868"
"54","0:16.3","30.565","20.624","24.870"
"55","0:16.6","30.842","20.620","24.889"
"56","0:16.9","31.141","20.620","24.892"
"57","0:17.2","31.424","20.617","24.907"
"58","0:17.5","31.715","20.614","24.922"
"59","0:17.8","32.014","20.627","24.954"
"60","0:18.1","32.260","20.613","24.972"
"61","0:18.4","32.565","20.628","24.978"
"62","0:18.7","32.831","20.626","24.992"
"63","0:19.0","33.100","20.605","25.001"
"64","0:19.3","33.380","20.597","25.002"
"65","0:19.6","33.661","20.645","25.017"
"66","0:19.9","33.918","20.627","25.026"
"67","0:20.2","34.264","20.683","25.084"
"68","0:20.5","34.518","20.672","25.087"
"69","0:20.8","34.778","20.672","25.095"
"70","0:21.1","35.088","20.669","25.114"
"71","0:21.4","35.425","20.670","25.138"
"72","0:21.7","35.704","20.683","25.160"
"73","0:22.0","35.995","20.770","25.181"
"74","0:22.3","36.261","20.810","25.175"
"75","0:22.6","36.508","20.556","25.201"
"76","0:22.9","36.837","20.690","25.219"
"77","0:23.2","37.115","20.759","25.224"
"78","0:23.6","37.402","20.704","25.253"
"79","0:23.9","37.683","20.685","25.266"
"80","0:24.2","37.951","20.854","25.280"
"81","0:24.5","38.214","20.753","25.300"
"82","0:24.8","38.506","20.747","25.327"
"83","0:25.1","38.805","20.770","25.332"
"84","0:25.4","39.043","20.674","25.367"
"85","0:25.7","39.344","20.696","25.410"
"86","0:26.0","39.602","20.740","25.417"
"87","0:26.3","39.956","20.715","25.459"
"88","0:26.6","40.223","20.703","25.482"
"89","0:26.9","40.558","20.696","25.537"
"90","0:27.2","40.886","20.695","25.605"
"91","0:27.5","41.210","20.679","25.708"
"92","0:27.8","41.578","20.632","25.841"
"93","0:28.1","42.033","20.650","25.973"
"94","0:28.4","42.530","20.593","26.074"
"95","0:28.7","43.075","20.578","26.193"
"96","0:29.0","43.598","20.540","26.311"
"97","0:29.3","44.064","20.521","26.421"
"98","0:29.6","44.586","20.517","26.518"
"99","0:29.9","45.082","20.506","26.608"
"100","0:30.2","45.586","20.493","26.739"
"101","0:30.5","46.114","20.478","26.858"
"102","0:30.8","46.675","20.460","26.979"
"103","0:31.1","47.174","20.455","27.121"
"104","0:31.4","47.616","20.442","27.250"
"105","0:31.7","47.950","20.435","27.353"
"106","0:32.0","48.348","20.435","27.464"
"107","0:32.3","48.663","20.429","27.549"
"108","0:32.6","48.984","20.430","27.626"
"109","0:32.9","49.374","20.428","27.695"
"110","0:33.2","49.701","20.418","27.739"
"111","0:33.5","50.101","20.422","27.802"
"112","0:33.8","50.515","20.414","27.872"
"113","0:34.1","50.835","20.415","27.944"
"114","0:34.4","51.227","20.414","28.036"
"115","0:34.7","51.629","20.420","28.132"
"116","0:35.0","51.965","20.415","28.241"
"117","0:35.3","52.370","20.418","28.370"
"118","0:35.6","52.730","20.409","28.467"
"119","0:35.9","53.111","20.406","28.558"
"120","0:36.2","53.521","20.402","28.653"
"121","0:36.5","53.846","20.403","28.729"
"122","0:36.8","54.253","20.405","28.813"
"123","0:37.1","54.699","20.403","28.901"
"124","0:37.4","55.066","20.392","28.995"
"125","0:37.7","55.506","20.399","29.094"
"126","0:38.0","55.919","20.389","29.183"
"127","0:38.3","56.249","20.381","29.262"
"128","0:38.6","56.642","20.384","29.359"
"129","0:38.9","56.978","20.383","29.434"
"130","0:39.3","57.253","20.386","29.529"
"131","0:39.6","57.565","20.379","29.613"
"132","0:39.9","57.784","20.359","29.695"
"133","0:40.2","58.077","20.371","29.787"
"134","0:40.5","58.392","20.390","29.874"
"135","0:40.8","58.704","20.476","30.027"
"136","0:41.1","59.023","20.474","30.113"
"137","0:41.4","59.352","20.427","30.183"
"138","0:41.7","59.648","20.441","30.263"
"139","0:42.0","60.015","20.448","30.353"
"140","0:42.3","60.334","20.437","30.440"
"141","0:42.6","60.635","20.444","30.537"
"142","0:42.9","61.016","20.440","30.636"
"143","0:43.2","61.330","20.458","30.717"
"144","0:43.5","61.692","20.443","30.801"
"145","0:43.8","62.097","20.434","30.889"
"146","0:44.1","62.417","20.434","30.975"
"147","0:44.4","62.824","20.432","31.067"
"148","0:44.7","63.234","20.428","31.155"
"149","0:45.0","63.522","20.415","31.246"
"150","0:45.3","63.882","20.429","31.346"
"151","0:45.6","64.190","20.422","31.437"
"152","0:45.9","64.525","20.421","31.524"
"153","0:46.2","64.926","20.418","31.624"
"154","0:46.5","65.236","20.424","31.714"
"155","0:46.8","65.590","20.421","31.816"
"156","0:47.1","65.945","20.415","31.917"
"157","0:47.4","66.201","20.415","32.001"
"158","0:47.7","66.538","20.403","32.095"
