"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 3"
"Sample Count: 1274"
"Start Time: 19/11/2025 17:11:59.3"
"Scan Rate: 3.31200003623962"
"Sample","Time (s)","Winding Temp (°C)","Ambient (°C)","Stator Body (°C)"
"0","0:00.0","20.960","20.565","21.678"
"1","0:00.3","20.959","20.524","21.688"
"2","0:00.6","20.960","20.531","21.695"
"3","0:00.9","20.963","20.522","21.700"
"4","0:01.2","20.971","20.518","21.708"
"5","0:01.5","20.978","20.536","21.704"
"6","0:01.8","20.981","20.521","21.711"
"7","0:02.1","20.980","20.512","21.713"
"8","0:02.4","20.972","20.514","21.709"
"9","0:02.7","20.973","20.521","21.707"
"10","0:03.0","20.985","20.531","21.716"
"11","0:03.3","20.985","20.519","21.724"
"12","0:03.6","20.981","20.534","21.735"
"13","0:03.9","20.987","20.543","21.740"
"14","0:04.2","20.996","20.536","21.752"
"15","0:04.5","20.987","20.525","21.739"
"16","0:04.8","21.001","20.557","21.742"
"17","0:05.1","20.991","20.561","21.745"
"18","0:05.4","20.994","20.545","21.744"
"19","0:05.7","20.992","20.549","21.751"
"20","0:06.0","20.996","20.561","21.750"
"21","0:06.3","21.001","20.557","21.753"
"22","0:06.6","21.003","20.513","21.751"
"23","0:06.9","21.012","20.561","21.750"
"24","0:07.2","21.006","20.568","21.752"
"25","0:07.5","21.001","20.567","21.753"
"26","0:07.9","21.005","20.569","21.755"
"27","0:08.2","21.001","20.563","21.751"
"28","0:08.5","21.000","20.549","21.751"
"29","0:08.8","20.998","20.555","21.738"
"30","0:09.1","21.003","20.588","21.727"
"31","0:09.4","21.002","20.572","21.727"
"32","0:09.7","20.999","20.556","21.720"
"33","0:10.0","21.002","20.551","21.715"
"34","0:10.3","20.999","20.559","21.710"
"35","0:10.6","20.995","20.554","21.706"
"36","0:10.9","20.990","20.549","21.713"
"37","0:11.2","20.994","20.550","21.722"
"38","0:11.5","20.996","20.536","21.718"
"39","0:11.8","20.999","20.556","21.734"
"40","0:12.1","20.999","20.547","21.744"
"41","0:12.4","21.005","20.550","21.741"
"42","0:12.7","21.008","20.541","21.740"
"43","0:13.0","20.991","20.573","21.724"
"44","0:13.3","20.994","20.537","21.708"
"45","0:13.6","20.992","20.539","21.703"
"46","0:13.9","20.990","20.539","21.694"
"47","0:14.2","20.983","20.540","21.679"
"48","0:14.5","20.983","20.555","21.683"
"49","0:14.8","20.977","20.543","21.672"
"50","0:15.1","20.969","20.545","21.671"
"51","0:15.4","20.974","20.536","21.665"
"52","0:15.7","20.972","20.574","21.651"
"53","0:16.0","20.966","20.539","21.663"
"54","0:16.3","20.969","20.600","21.660"
"55","0:16.6","20.961","20.571","21.671"
"56","0:16.9","20.962","20.551","21.672"
"57","0:17.2","20.969","20.501","21.676"
"58","0:17.5","20.976","20.606","21.688"
"59","0:17.8","20.975","20.589","21.699"
"60","0:18.1","20.973","20.561","21.703"
"61","0:18.4","20.976","20.557","21.708"
"62","0:18.7","20.985","20.556","21.709"
"63","0:19.0","20.986","20.541","21.714"
"64","0:19.3","20.981","20.545","21.712"
"65","0:19.6","20.980","20.558","21.720"
"66","0:19.9","20.977","20.561","21.719"
"67","0:20.2","21.042","20.627","21.788"
"68","0:20.5","21.047","20.621","21.780"
"69","0:20.8","21.041","20.617","21.775"
"70","0:21.1","21.034","20.617","21.781"
"71","0:21.4","21.048","20.615","21.783"
"72","0:21.7","21.040","20.608","21.775"
"73","0:22.0","21.035","20.603","21.768"
"74","0:22.3","21.031","20.590","21.760"
"75","0:22.6","21.033","20.591","21.752"
"76","0:22.9","21.035","20.630","21.764"
"77","0:23.2","21.031","20.612","21.764"
"78","0:23.6","21.036","20.608","21.747"
"79","0:23.9","21.021","20.605","21.739"
"80","0:24.2","21.018","20.608","21.730"
"81","0:24.5","21.024","20.611","21.723"
"82","0:24.8","21.011","20.624","21.724"
"83","0:25.1","21.016","20.619","21.724"
"84","0:25.4","21.013","20.610","21.734"
"85","0:25.7","21.088","20.620","21.736"
"86","0:26.0","21.151","20.631","21.741"
"87","0:26.3","21.187","20.619","21.751"
"88","0:26.6","21.245","20.621","21.761"
"89","0:26.9","21.354","20.631","21.774"
"90","0:27.2","21.434","20.628","21.779"
"91","0:27.5","21.539","20.630","21.778"
"92","0:27.8","21.649","20.637","21.767"
"93","0:28.1","21.762","20.642","21.769"
"94","0:28.4","21.892","20.634","21.777"
"95","0:28.7","22.060","20.639","21.786"
"96","0:29.0","22.222","20.644","21.799"
"97","0:29.3","22.395","20.636","21.811"
"98","0:29.6","22.558","20.638","21.823"
"99","0:29.9","22.781","20.648","21.839"
"100","0:30.2","22.958","20.642","21.851"
"101","0:30.5","23.161","20.648","21.870"
"102","0:30.8","23.371","20.658","21.882"
"103","0:31.1","23.586","20.660","21.897"
"104","0:31.4","23.806","20.665","21.907"
"105","0:31.7","24.074","20.660","21.916"
"106","0:32.0","24.265","20.647","21.915"
"107","0:32.3","24.504","20.642","21.917"
"108","0:32.6","24.743","20.648","21.928"
"109","0:32.9","24.956","20.639","21.931"
"110","0:33.2","25.207","20.634","21.955"
"111","0:33.5","25.437","20.640","21.966"
"112","0:33.8","25.707","20.650","21.991"
"113","0:34.1","25.928","20.662","22.009"
"114","0:34.4","26.172","20.655","22.022"
"115","0:34.7","26.424","20.659","22.038"
"116","0:35.0","26.668","20.657","22.052"
"117","0:35.3","26.911","20.659","22.065"
"118","0:35.6","27.168","20.667","22.074"
"119","0:35.9","27.419","20.661","22.084"
"120","0:36.2","27.664","20.663","22.092"
"121","0:36.5","27.930","20.668","22.109"
"122","0:36.8","28.190","20.679","22.120"
"123","0:37.1","28.448","20.681","22.132"
"124","0:37.4","28.684","20.686","22.144"
"125","0:37.7","28.942","20.688","22.158"
"126","0:38.0","29.177","20.676","22.172"
"127","0:38.3","29.432","20.674","22.194"
"128","0:38.6","29.696","20.671","22.209"
"129","0:38.9","29.938","20.677","22.229"
"130","0:39.3","30.205","20.679","22.235"
"131","0:39.6","30.419","20.686","22.255"
"132","0:39.9","30.720","20.671","22.280"
"133","0:40.2","30.947","20.647","22.301"
"134","0:40.5","31.207","20.678","22.337"
"135","0:40.8","31.459","20.685","22.364"
"136","0:41.1","31.702","20.689","22.382"
"137","0:41.4","31.956","20.652","22.400"
"138","0:41.7","32.194","20.686","22.429"
"139","0:42.0","32.417","20.650","22.449"
"140","0:42.3","32.704","20.669","22.467"
"141","0:42.6","32.971","20.661","22.491"
"142","0:42.9","33.223","20.660","22.505"
"143","0:43.2","33.481","20.657","22.530"
"144","0:43.5","33.731","20.646","22.544"
"145","0:43.8","33.976","20.649","22.573"
"146","0:44.1","34.238","20.689","22.612"
"147","0:44.4","34.478","20.659","22.651"
"148","0:44.7","34.752","20.681","22.700"
"149","0:45.0","35.021","20.670","22.741"
"150","0:45.3","35.253","20.671","22.774"
"151","0:45.6","35.556","20.673","22.798"
"152","0:45.9","35.783","20.673","22.815"
"153","0:46.2","36.024","20.703","22.832"
"154","0:46.5","36.306","20.632","22.866"
"155","0:46.8","36.525","20.669","22.894"
"156","0:47.1","36.723","20.684","22.936"
"157","0:47.4","36.975","20.691","22.964"
"158","0:47.7","37.136","20.696","22.978"
"159","0:48.0","37.410","20.708","23.002"
"160","0:48.3","37.657","20.666","23.033"
"161","0:48.6","37.860","20.683","23.068"
"162","0:48.9","38.126","20.676","23.106"
"163","0:49.2","38.320","20.684","23.144"
"164","0:49.5","38.579","20.684","23.172"
"165","0:49.8","38.859","20.682","23.203"
"166","0:50.1","39.077","20.688","23.239"
"167","0:50.4","39.281","20.685","23.266"
"168","0:50.7","39.514","20.683","23.307"
"169","0:51.0","39.750","20.759","23.400"
"170","0:51.3","39.986","20.754","23.442"
"171","0:51.6","40.240","20.753","23.475"
"172","0:51.9","40.432","20.758","23.503"
"173","0:52.2","40.693","20.757","23.548"
"174","0:52.5","40.901","20.765","23.591"
"175","0:52.8","41.125","20.747","23.626"
"176","0:53.1","41.413","20.765","23.674"
"177","0:53.4","41.625","20.730","23.717"
"178","0:53.7","41.904","20.748","23.759"
"179","0:54.0","42.179","20.743","23.807"
"180","0:54.3","42.375","20.783","23.835"
"181","0:54.6","42.667","20.763","23.873"
"182","0:55.0","42.909","20.762","23.928"
"183","0:55.3","43.104","20.765","23.954"
"184","0:55.6","43.357","20.762","23.999"
"185","0:55.9","43.565","20.769","24.048"
"186","0:56.2","43.796","20.761","24.093"
"187","0:56.5","44.047","20.751","24.125"
"188","0:56.8","44.182","20.752","24.162"
"189","0:57.1","44.383","20.754","24.211"
"190","0:57.4","44.599","20.763","24.261"
"191","0:57.7","44.757","20.769","24.284"
"192","0:58.0","44.978","20.779","24.311"
"193","0:58.3","45.155","20.782","24.338"
"194","0:58.6","45.321","20.797","24.382"
"195","0:58.9","45.589","20.798","24.428"
"196","0:59.2","45.801","20.797","24.459"
"197","0:59.5","46.017","20.802","24.499"
"198","0:59.8","46.277","20.791","24.535"
"199","1:00.1","46.472","20.786","24.589"
"200","1:00.4","46.726","20.779","24.647"
"201","1:00.7","46.995","20.771","24.694"
"202","1:01.0","47.183","20.776","24.736"
"203","1:01.3","47.439","20.777","24.810"
"204","1:01.6","47.678","20.794","24.856"
"205","1:01.9","47.845","20.788","24.902"
"206","1:02.2","48.105","20.786","24.961"
"207","1:02.5","48.309","20.789","24.988"
"208","1:02.8","48.532","20.779","25.032"
"209","1:03.1","48.780","20.782","25.071"
"210","1:03.4","48.936","20.783","25.110"
"211","1:03.7","49.162","20.774","25.122"
"212","1:04.0","49.354","20.774","25.164"
"213","1:04.3","49.531","20.773","25.225"
"214","1:04.6","49.819","20.778","25.257"
"215","1:04.9","50.039","20.783","25.286"
"216","1:05.2","50.207","20.796","25.293"
"217","1:05.5","50.442","20.802","25.345"
"218","1:05.8","50.620","20.816","25.382"
"219","1:06.1","50.831","20.815","25.395"
"220","1:06.4","51.054","20.819","25.455"
"221","1:06.7","51.227","20.825","25.493"
"222","1:07.0","51.455","20.799","25.592"
"223","1:07.3","51.695","20.797","25.701"
"224","1:07.6","51.875","20.788","25.770"
"225","1:07.9","52.165","20.787","25.883"
"226","1:08.2","52.420","20.779","25.927"
"227","1:08.5","52.611","20.775","25.965"
"228","1:08.8","52.863","20.771","26.019"
"229","1:09.1","53.033","20.767","26.075"
"230","1:09.4","53.291","20.770","26.114"
"231","1:09.7","53.527","20.783","26.107"
"232","1:10.0","53.676","20.773","26.121"
"233","1:10.4","53.890","20.766","26.190"
"234","1:10.7","54.075","20.763","26.249"
"235","1:11.0","54.190","20.769","26.308"
"236","1:11.3","54.384","20.759","26.368"
"237","1:11.6","54.546","20.819","26.460"
"238","1:11.9","54.677","20.818","26.496"
"239","1:12.2","54.894","20.822","26.583"
"240","1:12.5","55.046","20.817","26.685"
"241","1:12.8","55.287","20.823","26.762"
"242","1:13.1","55.532","20.837","26.842"
"243","1:13.4","55.694","20.853","26.890"
"244","1:13.7","55.910","20.874","26.928"
"245","1:14.0","56.087","20.882","26.977"
"246","1:14.3","56.179","20.886","27.005"
"247","1:14.6","56.337","20.898","27.041"
"248","1:14.9","56.486","20.911","27.042"
"249","1:15.2","56.658","20.919","27.069"
"250","1:15.5","56.830","20.918","27.075"
"251","1:15.8","56.901","20.907","27.089"
"252","1:16.1","57.066","20.900","27.124"
