Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 3620885024
71.711716,2,23.57,455,2,2,0,143.42,1,0,
71.681686,1.6,23.57,2831,4,3,0,114.69,1,0,
71.62162,3.2,23.57,2018,4,3,0,229.19,1,0,
71.531532,3.2,23.57,1978,4,3,0,228.9,1,0,
71.62162,5,23.55,882,4,4,0,358.11,1,0,
71.561562,5,23.55,1963,4,4,0,357.81,1,0,
71.381386,3.6,23.55,1895,4,4,0,256.97,1,0,
71.561562,5.2,23.52,1989,4,4,0,372.12,1,0,
71.62162,4.2,23.5,647,4,4,0,300.81,1,0,
71.62162,5.6,23.47,1983,4,4,0,401.08,1,0,
71.591591,4.4,23.47,2230,4,4,0,315,1,0,
71.591591,5,23.47,1985,4,4,0,357.96,1,0,
71.62162,4,23.47,648,4,4,0,286.49,1,0,
71.651657,4.6,23.5,1673,4,4,0,329.6,1,0,
71.651657,5,23.5,1399,4,4,0,358.26,1,0,
71.591591,4,23.55,1985,4,4,0,286.37,1,0,
71.591591,8,23.57,698,4,4,0,572.73,1,0,
71.651657,3.6,23.67,1553,4,4,0,257.95,1,0,
71.62162,5.8,23.72,1382,4,4,0,415.41,1,0,
71.62162,3.6,23.75,1985,4,4,0,257.84,1,0,
71.62162,7,23.77,661,4,4,0,501.35,1,0,
71.62162,3.8,23.85,1504,4,4,0,272.16,1,0,
71.651657,5,23.9,1208,4,4,0,358.26,1,0,
71.62162,4.6,23.92,1986,4,4,0,329.46,1,0,
71.62162,6,23.97,1691,4,4,0,429.73,1,0,
71.651657,4.8,24.02,1527,4,4,0,343.93,1,0,
71.62162,4.2,24.1,1947,4,4,0,300.81,1,0,
71.591591,6,24.15,1985,4,4,0,429.55,1,0,
71.591591,5.6,24.17,2299,5,5,0,400.91,1,0,
71.561562,8.2,24.22,2659,5,5,0,586.8,1,0,
71.441444,5.4,24.27,2791,5,5,0,385.78,1,0,
71.501503,8.8,24.32,2691,5,5,0,629.21,1,0,
71.531532,6.6,24.37,1185,5,5,0,472.11,1,0,
71.561562,8.2,24.42,1561,5,5,0,586.8,1,0,
71.351357,7,24.47,1927,5,5,0,499.46,1,0,
71.501503,8.2,24.52,2026,5,5,0,586.31,1,0,
71.561562,7.2,24.6,2086,5,5,0,515.24,1,0,
71.171173,7.4,24.65,2290,6,6,0,526.67,1,0,
