"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 3"
"Sample Count: 663"
"Start Time: 19/11/2025 18:47:43.9"
"Scan Rate: 3.31200003623962"
"Sample","Time (s)","Winding Temp (°C)","Ambient (°C)","Stator Body (°C)"
"0","0:00.0","20.475","20.841","21.177"
"1","0:00.3","20.471","20.820","21.172"
"2","0:00.6","20.473","20.809","21.173"
"3","0:00.9","20.474","20.809","21.178"
"4","0:01.2","20.472","20.809","21.178"
"5","0:01.5","20.473","20.803","21.187"
"6","0:01.8","20.477","20.805","21.194"
"7","0:02.1","20.478","20.799","21.195"
"8","0:02.4","20.479","20.804","21.194"
"9","0:02.7","20.479","20.805","21.195"
"10","0:03.0","20.480","20.802","21.201"
"11","0:03.3","20.481","20.805","21.198"
"12","0:03.6","20.484","20.803","21.197"
"13","0:03.9","20.486","20.801","21.196"
"14","0:04.2","20.484","20.801","21.197"
"15","0:04.5","20.484","20.797","21.196"
"16","0:04.8","20.484","20.803","21.195"
"17","0:05.1","20.481","20.801","21.193"
"18","0:05.4","20.490","20.801","21.195"
"19","0:05.7","20.490","20.799","21.197"
"20","0:06.0","20.487","20.794","21.194"
"21","0:06.3","20.491","20.801","21.198"
"22","0:06.6","20.496","20.799","21.202"
"23","0:06.9","20.501","20.800","21.203"
"24","0:07.2","20.500","20.802","21.204"
"25","0:07.5","20.499","20.800","21.204"
"26","0:07.9","20.500","20.795","21.204"
"27","0:08.2","20.500","20.797","21.201"
"28","0:08.5","20.500","20.799","21.206"
"29","0:08.8","20.499","20.797","21.202"
"30","0:09.1","20.499","20.797","21.199"
"31","0:09.4","20.498","20.794","21.201"
"32","0:09.7","20.496","20.792","21.200"
"33","0:10.0","20.497","20.794","21.202"
"34","0:10.3","20.497","20.794","21.194"
"35","0:10.6","20.473","20.784","21.184"
"36","0:10.9","20.476","20.780","21.178"
"37","0:11.2","20.494","20.786","21.184"
"38","0:11.5","20.539","20.781","21.183"
"39","0:11.8","20.598","20.786","21.191"
"40","0:12.1","20.683","20.787","21.187"
"41","0:12.4","20.747","20.782","21.190"
"42","0:12.7","20.858","20.787","21.190"
"43","0:13.0","20.979","20.784","21.192"
"44","0:13.3","21.145","20.783","21.196"
"45","0:13.6","21.288","20.781","21.195"
"46","0:13.9","21.459","20.782","21.206"
"47","0:14.2","21.646","20.788","21.209"
"48","0:14.5","21.851","20.786","21.209"
"49","0:14.8","22.061","20.782","21.214"
"50","0:15.1","22.280","20.779","21.221"
"51","0:15.4","22.500","20.780","21.232"
"52","0:15.7","22.747","20.782","21.239"
"53","0:16.0","23.016","20.779","21.244"
"54","0:16.3","23.269","20.779","21.263"
"55","0:16.6","23.533","20.781","21.266"
"56","0:16.9","23.818","20.783","21.278"
"57","0:17.2","24.101","20.778","21.287"
"58","0:17.5","24.384","20.784","21.300"
"59","0:17.8","24.673","20.774","21.312"
"60","0:18.1","24.978","20.777","21.326"
"61","0:18.4","25.266","20.774","21.339"
"62","0:18.7","25.567","20.773","21.351"
"63","0:19.0","25.879","20.775","21.370"
"64","0:19.3","26.195","20.780","21.384"
"65","0:19.6","26.489","20.778","21.396"
"66","0:19.9","26.843","20.774","21.414"
"67","0:20.2","27.236","20.839","21.500"
"68","0:20.5","27.551","20.836","21.511"
"69","0:20.8","27.909","20.837","21.537"
"70","0:21.1","28.206","20.833","21.566"
"71","0:21.4","28.569","20.834","21.583"
"72","0:21.7","28.902","20.835","21.605"
"73","0:22.0","29.240","20.836","21.638"
"74","0:22.3","29.557","20.838","21.663"
"75","0:22.6","29.909","20.831","21.687"
"76","0:22.9","30.252","20.836","21.707"
"77","0:23.2","30.608","20.836","21.741"
"78","0:23.6","30.938","20.830","21.762"
"79","0:23.9","31.285","20.833","21.795"
"80","0:24.2","31.684","20.836","21.823"
"81","0:24.5","32.015","20.828","21.849"
"82","0:24.8","32.349","20.828","21.894"
"83","0:25.1","32.667","20.833","21.931"
"84","0:25.4","33.007","20.828","21.958"
