Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 3620885024
71.681686,1.8,22.78,1854,3,2,0,129.03,1,0,
71.651657,2.6,22.78,731,4,3,0,186.29,1,0,
71.591591,4,22.78,1948,4,3,0,286.37,1,0,
71.561562,5.6,22.78,2820,4,4,0,400.74,1,0,
71.531532,7.4,22.78,1649,4,4,0,529.33,1,0,
71.62162,5.4,22.78,1027,4,4,0,386.76,1,0,
71.561562,8.2,22.8,1381,4,4,0,586.8,1,0,
71.501503,5,22.8,1924,4,4,0,357.51,1,0,
71.531532,7.6,22.8,1992,5,5,0,543.64,1,0,
71.561562,6,22.83,2016,4,4,0,429.37,1,0,
71.561562,6.8,22.83,2117,4,4,0,486.62,1,0,
71.441444,6.6,22.83,2211,5,5,0,471.51,1,0,
71.531532,6,22.83,2320,4,5,0,429.19,1,0,
71.561562,7.2,22.83,2187,4,4,0,515.24,1,0,
71.95195,5,22.83,2643,5,5,0,359.76,1,0,
71.531532,7,22.88,2810,5,5,0,500.72,1,0,
71.501503,6.8,22.93,1703,6,5,0,486.21,1,0,
71.711716,12.2,23,999,6,5,0,874.88,1,0,
72.042046,5.4,23.08,1883,7,5,0,389.03,1,0,
71.29129,8.4,23.13,1927,6,5,0,598.85,1,0,
71.591591,7,23.18,2057,7,5,0,501.14,1,0,
71.471474,10,23.28,2079,7,5,0,714.71,1,0,
71.471474,7.6,23.33,2271,8,5,0,543.18,1,0,
71.32132,10.4,23.4,2177,8,7,0,741.74,1,0,
71.891891,7.6,23.47,2729,9,5,0,546.38,1,0,
71.561562,7,23.55,2767,8,6,0,500.93,1,0,
71.531532,8.4,23.6,2520,9,5,0,600.86,1,0,
71.441444,6.6,23.65,2803,9,5,0,471.51,1,0,
71.471474,10.6,23.72,2560,9,5,0,757.6,1,0,
71.501503,6.6,23.82,1064,9,5,0,471.91,1,0,
71.531532,10.2,23.9,1025,10,5,0,729.62,1,0,
71.561562,7.2,23.92,914,10,5,0,515.24,1,0,
71.441444,8.6,24,1819,10,5,0,614.4,1,0,
71.981987,8.4,24.05,1889,11,5,0,604.65,1,0,
71.501503,8.6,24.1,1955,11,6,0,614.91,1,0,
71.561562,8.6,24.2,2063,11,5,0,615.43,1,0,
71.441444,7.6,24.25,2307,11,5,0,542.95,1,0,
71.351357,8,24.32,2258,11,5,0,570.81,1,0,
71.351357,5.8,24.4,2268,11,5,0,413.84,1,0,
71.681686,8.4,24.47,2193,12,5,0,602.13,1,0,
71.531532,6.4,24.52,2290,11,5,0,457.8,1,0,
72.372375,10.6,24.6,2457,12,5,0,767.15,1,0,
71.351357,5.8,24.65,2685,12,5,0,413.84,1,0,
71.081085,9.2,24.67,2429,12,6,0,653.95,1,0,
71.501503,7.6,24.75,2709,12,5,0,543.41,1,0,
71.411415,8,24.8,2770,12,6,0,571.29,1,0,
71.531532,9,24.85,2321,12,5,0,643.78,1,0,
71.411415,7.4,24.92,2685,12,5,0,528.44,1,0,
71.471474,10,25,2565,12,5,0,714.71,1,0,
71.501503,6.6,25.05,2475,12,5,0,471.91,1,0,
71.471474,10.8,25.1,2300,12,5,0,771.89,1,0,
71.501503,6.8,25.15,2123,12,5,0,486.21,1,0,
71.32132,13.2,25.2,1797,12,6,0,941.44,1,0,
71.501503,8.4,25.25,1049,12,5,0,600.61,1,0,
71.411415,9.8,25.33,1090,12,6,0,699.83,1,0,
71.531532,8.8,25.38,2077,12,5,0,629.48,1,0,
71.411415,8.4,25.43,2669,12,6,0,599.86,1,0,
71.501503,10,25.48,1325,12,5,0,715.02,1,0,
71.471474,7.4,25.53,1071,12,5,0,528.89,1,0,
71.411415,13.6,25.58,1175,12,6,0,971.2,1,0,
71.561562,7,25.63,1031,12,5,0,500.93,1,0,
71.471474,9.6,25.68,2272,12,5,0,686.13,1,0,
71.501503,6.4,25.73,2676,12,5,0,457.61,1,0,
71.501503,8.4,25.76,2250,12,6,0,600.61,1,0,
71.561562,7.4,25.83,2521,12,5,0,529.56,1,0,
71.411415,9,25.88,1942,12,6,0,642.7,1,0,
71.591591,7.8,25.91,2110,12,5,0,558.41,1,0,
71.411415,7.6,25.93,2009,12,6,0,542.73,1,0,
71.531532,8.4,25.98,2195,12,5,0,600.86,1,0,
71.831833,5.6,26.03,2278,12,5,0,402.26,1,0,
71.921921,8.6,26.11,2129,12,5,0,618.53,1,0,
71.531532,6.4,26.14,2065,12,5,0,457.8,1,0,
71.561562,9.4,26.19,1977,12,5,0,672.68,1,0,
71.531532,7.6,26.21,1935,12,5,0,543.64,1,0,
71.411415,9.4,26.24,1953,12,6,0,671.27,1,0,
72.042046,9.4,26.29,1865,12,5,0,677.2,1,0,
71.381386,7.6,26.34,1961,12,6,0,542.5,1,0,
71.531532,11.8,26.39,835,12,5,0,844.07,1,0,
71.471474,6.6,26.39,1444,12,5,0,471.71,1,0,
71.531532,9.4,26.46,2305,12,5,0,672.4,1,0,
71.441444,6.8,26.52,2581,12,5,0,485.8,1,0,
71.111115,9.2,26.54,2397,12,5,0,654.22,1,0,
71.531532,6.6,26.59,2505,12,5,0,472.11,1,0,
71.381386,10.6,26.67,2061,12,6,0,756.64,1,0,
71.531532,7.8,26.67,2233,12,5,0,557.95,1,0,
71.381386,10,26.69,2142,12,6,0,713.81,1,0,
71.531532,10.6,26.74,1747,12,5,0,758.23,1,0,
71.501503,6.8,26.74,1805,12,5,0,486.21,1,0,
71.471474,12.8,26.82,821,12,5,0,914.83,1,0,
71.62162,5.8,26.85,991,12,5,0,415.41,1,0,
71.441444,11.8,26.9,2149,12,5,0,843.01,1,0,
71.471474,6.8,26.9,2581,12,5,0,486.01,1,0,
71.051056,9,26.97,2265,12,5,0,639.46,1,0,
71.561562,7.4,26.97,2153,12,5,0,529.56,1,0,
71.351357,10.4,27.05,2022,12,6,0,742.05,1,0,
71.531532,8.2,27.05,2120,12,5,0,586.56,1,0,
71.441444,7.8,27.08,1928,12,6,0,557.24,1,0,
71.561562,9.8,27.1,770,12,5,0,701.3,1,0,
71.471474,7.6,27.15,985,12,6,0,543.18,1,0,
71.501503,9.4,27.18,2068,12,5,0,672.11,1,0,
72.072075,5.8,27.2,2526,12,6,0,418.02,1,0,
71.561562,9.8,27.25,2085,12,5,0,701.3,1,0,
71.531532,6.8,27.25,2186,12,5,0,486.41,1,0,
71.471474,10.2,27.31,2059,12,6,0,729.01,1,0,
71.95195,7.4,27.36,1900,12,5,0,532.44,1,0,
71.651657,9.2,27.36,945,12,5,0,659.2,1,0,
71.531532,9,27.41,906,12,5,0,643.78,1,0,
71.471474,7.6,27.46,1784,12,6,0,543.18,1,0,
71.531532,8.6,27.48,2093,12,5,0,615.17,1,0,
71.471474,7,27.51,1999,12,6,0,500.3,1,0,
71.381386,14.4,27.54,840,12,6,0,1027.89,1,0,
71.531532,6.4,27.56,1030,12,5,0,457.8,1,0,
72.072075,8.8,27.61,2287,12,5,0,634.23,1,0,
71.411415,6.4,27.64,2272,12,5,0,457.03,1,0,
71.381386,10.8,27.64,2174,12,6,0,770.92,1,0,
71.711716,8.2,27.69,1809,12,5,0,588.04,1,0,
71.471474,7.8,27.72,928,12,5,0,557.48,1,0,
71.531532,9.6,27.74,911,12,5,0,686.7,1,0,
71.62162,6.4,27.77,1972,12,6,0,458.38,1,0,
71.531532,8.6,27.82,2140,12,5,0,615.17,1,0,
71.921921,5.4,27.82,1897,12,5,0,388.38,1,0,
71.441444,10.4,27.9,1984,12,5,0,742.99,1,0,
71.651657,6.4,27.92,2128,12,5,0,458.57,1,0,
71.411415,9.6,27.92,2165,12,5,0,685.55,1,0,
71.561562,7.2,27.95,767,12,5,0,515.24,1,0,
71.171173,8.4,28,2134,12,6,0,597.84,1,0,
71.561562,6.8,28.02,2127,12,5,0,486.62,1,0,
71.201202,7.6,28.05,2268,12,6,0,541.13,1,0,
71.561562,10.8,28.1,732,12,5,0,772.86,1,0,
71.471474,7.8,28.1,947,12,6,0,557.48,1,0,
71.531532,8.6,28.1,2222,12,5,0,615.17,1,0,
71.501503,6.8,28.15,2259,12,5,0,486.21,1,0,
72.072075,8.2,28.15,1895,12,5,0,590.99,1,0,
71.531532,7.6,28.2,760,12,5,0,543.64,1,0,
