"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 4"
"Sample Count: 360"
"Start Time: 20/11/2025 10:53:58.5"
"Scan Rate: 2.48399996757507"
"Sample","Time (s)","PH1 (°C)","PH3 (°C)","PH2 (°C)","Ambient (°C)"
"0","0:00.0","25.018","25.271","25.652","20.443"
"1","0:00.4","25.023","25.271","25.654","20.446"
"2","0:00.8","25.029","25.273","25.659","20.451"
"3","0:01.2","25.034","25.280","25.663","20.459"
"4","0:01.6","25.040","25.283","25.664","20.455"
"5","0:02.0","25.046","25.280","25.668","20.463"
"6","0:02.4","25.047","25.287","25.672","20.467"
"7","0:02.8","25.049","25.287","25.679","20.474"
"8","0:03.2","25.056","25.290","25.677","20.474"
"9","0:03.6","25.058","25.285","25.680","20.483"
"10","0:04.0","25.059","25.287","25.677","20.478"
"11","0:04.4","25.064","25.287","25.680","20.482"
"12","0:04.8","25.074","25.296","25.656","20.477"
"13","0:05.2","25.027","25.379","25.734","20.483"
"14","0:05.6","25.118","25.626","25.888","20.486"
"15","0:06.0","25.212","26.027","26.134","20.487"
"16","0:06.4","25.350","26.464","26.440","20.499"
"17","0:06.8","25.582","27.041","26.796","20.497"
"18","0:07.2","25.887","27.655","27.187","20.497"
"19","0:07.6","26.183","28.205","27.624","20.509"
"20","0:08.1","26.588","28.865","28.065","20.509"
"21","0:08.5","26.898","29.459","28.550","20.508"
"22","0:08.9","27.307","30.104","29.057","20.507"
"23","0:09.3","27.763","30.904","29.581","20.519"
"24","0:09.7","28.292","31.591","30.114","20.456"
"25","0:10.1","28.738","32.185","30.670","20.459"
"26","0:10.5","29.263","32.931","31.222","20.464"
"27","0:10.9","29.681","33.564","31.793","20.463"
"28","0:11.3","30.163","34.308","32.378","20.458"
"29","0:11.7","30.748","35.045","32.992","20.456"
"30","0:12.1","31.333","35.684","33.580","20.473"
"31","0:12.5","31.817","36.306","34.169","20.476"
"32","0:12.9","32.327","37.004","34.786","20.474"
"33","0:13.3","32.771","37.776","35.417","20.470"
"34","0:13.7","33.342","38.524","36.057","20.475"
"35","0:14.1","33.965","39.236","36.674","20.478"
"36","0:14.5","34.490","39.831","37.291","20.489"
"37","0:14.9","34.967","40.510","37.929","20.497"
"38","0:15.3","35.443","41.238","38.596","20.492"
"39","0:15.7","35.949","42.034","39.248","20.487"
"40","0:16.1","36.583","42.776","39.896","20.489"
"41","0:16.5","37.126","43.458","40.555","20.503"
"42","0:16.9","37.631","44.091","41.195","20.506"
"43","0:17.3","38.101","44.821","41.876","20.500"
"44","0:17.7","38.608","45.586","42.547","20.504"
"45","0:18.1","39.227","46.303","43.211","20.506"
"46","0:18.5","39.738","46.920","43.873","20.519"
"47","0:18.9","40.222","47.583","44.546","20.525"
"48","0:19.3","40.722","48.325","45.230","20.523"
"49","0:19.7","41.248","49.037","45.826","20.522"
"50","0:20.1","41.938","49.672","46.518","20.527"
"51","0:20.5","42.484","50.272","47.170","20.538"
"52","0:20.9","42.986","50.887","47.819","20.545"
"53","0:21.3","43.471","51.628","48.504","20.534"
"54","0:21.7","44.018","52.209","49.167","20.536"
"55","0:22.1","44.669","52.937","49.844","20.536"
"56","0:22.5","45.226","53.508","50.473","20.551"
"57","0:22.9","45.770","54.028","51.114","20.553"
"58","0:23.3","46.239","54.657","51.752","20.550"
"59","0:23.8","46.738","55.403","52.397","20.549"
"60","0:24.2","47.328","56.034","52.930","20.551"
"61","0:24.6","47.961","56.708","53.527","20.556"
"62","0:25.0","48.542","57.188","54.160","20.561"
"63","0:25.4","49.038","57.726","54.789","20.566"
"64","0:25.8","49.497","58.365","55.418","20.562"
"65","0:26.2","50.012","59.166","56.015","20.563"
"66","0:26.6","50.620","59.773","56.645","20.568"
"67","0:27.0","51.104","60.329","57.243","20.571"
"68","0:27.4","51.652","60.879","57.850","20.584"
"69","0:27.8","52.085","61.458","58.432","20.585"
"70","0:28.2","52.575","62.019","59.042","20.584"
"71","0:28.6","53.139","62.557","59.653","20.578"
"72","0:29.0","53.681","63.011","60.219","20.580"
"73","0:29.4","54.197","63.464","60.804","20.586"
"74","0:29.8","54.580","63.973","61.316","20.512"
"75","0:30.2","54.980","64.561","61.901","20.511"
"76","0:30.6","55.465","65.326","62.490","20.537"
"77","0:31.0","56.077","66.477","62.540","20.536"
"78","0:31.4","56.650","66.985","63.094","20.532"
"79","0:31.8","57.083","67.580","63.701","20.539"
"80","0:32.2","57.531","68.157","64.282","20.540"
"81","0:32.6","57.945","68.778","64.866","20.541"
"82","0:33.0","58.560","69.369","65.442","20.543"
"83","0:33.4","59.136","69.874","65.993","20.545"
"84","0:33.8","59.597","70.334","66.531","20.552"
"85","0:34.2","60.163","70.852","67.064","20.562"
"86","0:34.6","60.561","71.380","67.594","20.550"
"87","0:35.0","61.014","71.935","68.124","20.551"
"88","0:35.4","61.522","72.467","68.642","20.555"
"89","0:35.8","62.030","72.901","69.149","20.565"
"90","0:36.2","62.467","73.422","69.672","20.565"
"91","0:36.6","62.750","73.951","70.212","20.564"
"92","0:37.0","63.145","74.507","70.707","20.563"
"93","0:37.4","63.685","75.027","71.198","20.563"
"94","0:37.8","64.246","75.510","71.646","20.573"
"95","0:38.2","64.685","75.946","72.118","20.575"
"96","0:38.6","65.176","76.481","72.581","20.572"
"97","0:39.0","65.628","77.021","73.010","20.577"
"98","0:39.5","66.131","77.605","73.502","20.578"
"99","0:39.9","66.605","78.037","73.953","20.582"
"100","0:40.3","67.063","78.594","74.418","20.582"
"101","0:40.7","67.526","79.121","74.916","20.586"
"102","0:41.1","67.982","79.666","75.416","20.584"
"103","0:41.5","68.439","80.206","75.935","20.586"
"104","0:41.9","68.901","80.745","76.427","20.588"
"105","0:42.3","69.356","81.290","76.917","20.590"
"106","0:42.7","69.815","81.854","77.416","20.598"
"107","0:43.1","70.238","82.393","77.914","20.599"
"108","0:43.5","70.635","82.894","78.419","20.603"
"109","0:43.9","71.033","83.380","78.949","20.600"
"110","0:44.3","71.367","83.788","79.509","20.604"
"111","0:44.7","71.798","84.204","80.029","20.597"
"112","0:45.1","72.265","84.661","80.602","20.605"
"113","0:45.5","72.737","85.107","81.122","20.596"
"114","0:45.9","73.114","85.558","81.575","20.607"
"115","0:46.3","73.476","86.069","82.064","20.599"
"116","0:46.7","73.837","86.544","82.577","20.606"
"117","0:47.1","74.223","87.014","83.086","20.612"
"118","0:47.5","74.596","87.475","83.619","20.615"
"119","0:47.9","75.042","87.906","83.999","20.614"
"120","0:48.3","75.505","88.347","84.362","20.612"
"121","0:48.7","75.869","88.793","84.855","20.604"
"122","0:49.1","76.200","89.267","85.403","20.618"
"123","0:49.5","76.604","89.730","85.902","20.625"
"124","0:49.9","76.916","90.121","86.330","20.568"
"125","0:50.3","77.296","90.571","86.743","20.571"
"126","0:50.7","77.677","91.032","87.218","20.569"
"127","0:51.1","78.142","91.519","87.722","20.571"
"128","0:51.5","78.582","91.965","88.242","20.570"
"129","0:51.9","78.942","92.428","88.720","20.574"
"130","0:52.3","79.336","92.929","89.162","20.578"
"131","0:52.7","79.704","93.408","89.633","20.589"
"132","0:53.1","80.040","93.885","90.054","20.575"
"133","0:53.5","80.397","94.324","90.401","20.585"
"134","0:53.9","80.843","94.766","90.876","20.585"
"135","0:54.3","81.256","95.191","91.355","20.584"
"136","0:54.8","81.605","95.607","91.837","20.587"
"137","0:55.2","81.922","96.049","92.331","20.597"
"138","0:55.6","82.252","96.516","92.797","20.600"
"139","0:56.0","82.603","96.995","93.372","20.606"
"140","0:56.4","82.977","97.472","93.879","20.603"
"141","0:56.8","83.361","97.941","94.432","20.611"
"142","0:57.2","83.760","98.429","94.924","20.609"
"143","0:57.6","84.080","98.869","95.386","20.614"
"144","0:58.0","84.392","99.295","95.849","20.623"
"145","0:58.4","84.756","99.742","96.233","20.616"
"146","0:58.8","85.053","100.212","96.690","20.630"
"147","0:59.2","85.355","100.687","97.119","20.638"
"148","0:59.6","85.743","101.134","97.617","20.631"
"149","1:00.0","86.155","101.530","98.114","20.660"
"150","1:00.4","86.450","101.919","98.595","20.631"
"151","1:00.8","86.786","102.263","99.078","20.646"
"152","1:01.2","87.170","102.689","99.569","20.647"
"153","1:01.6","87.475","103.096","100.028","20.653"
"154","1:02.0","87.792","103.455","100.471","20.647"
"155","1:02.4","88.043","103.812","100.929","20.652"
"156","1:02.8","88.315","104.164","101.365","20.657"
"157","1:03.2","88.651","104.524","101.808","20.657"
"158","1:03.6","89.072","104.868","102.234","20.662"
"159","1:04.0","89.452","105.217","102.706","20.642"
"160","1:04.4","89.790","105.525","103.127","20.658"
"161","1:04.8","90.123","105.848","103.542","20.662"
"162","1:05.2","90.452","106.006","103.862","20.658"
"163","1:05.6","90.815","106.385","104.180","20.656"
"164","1:06.0","91.147","106.749","104.357","20.657"
"165","1:06.4","91.475","107.127","104.882","20.653"
"166","1:06.8","91.782","107.517","105.423","20.663"
"167","1:07.2","92.054","107.870","105.759","20.661"
"168","1:07.6","92.303","108.077","106.260","20.666"
"169","1:08.0","92.512","108.327","106.806","20.664"
"170","1:08.4","92.749","108.594","107.293","20.664"
"171","1:08.8","93.064","108.867","107.612","20.661"
"172","1:09.2","93.414","109.119","107.989","20.664"
"173","1:09.6","93.832","109.363","108.346","20.658"
"174","1:10.0","94.248","109.656","108.666","20.659"
"175","1:10.5","94.656","109.819","109.119","20.658"
"176","1:10.9","95.052","110.062","109.618","20.658"
"177","1:11.3","95.465","110.344","109.951","20.665"
"178","1:11.7","95.789","110.653","110.351","20.659"
"179","1:12.1","96.094","110.974","110.733","20.655"
"180","1:12.5","96.415","111.293","111.093","20.658"
"181","1:12.9","96.751","111.645","111.498","20.667"
"182","1:13.3","97.042","111.962","111.868","20.663"
"183","1:13.7","97.347","112.310","112.235","20.668"
"184","1:14.1","97.684","112.617","112.746","20.671"
"185","1:14.5","98.026","112.928","113.353","20.669"
"186","1:14.9","98.375","113.302","113.799","20.675"
"187","1:15.3","98.687","113.668","114.198","20.669"
"188","1:15.7","98.987","113.987","114.609","20.672"
"189","1:16.1","99.276","114.323","115.033","20.671"
"190","1:16.5","99.564","114.654","115.541","20.673"
"191","1:16.9","99.877","114.984","115.931","20.670"
"192","1:17.3","100.210","115.312","116.295","20.674"
"193","1:17.7","100.563","115.632","116.658","20.672"
"194","1:18.1","100.828","115.954","116.969","20.672"
"195","1:18.5","101.183","116.290","117.288","20.666"
"196","1:18.9","101.513","116.610","117.692","20.671"
"197","1:19.3","101.806","116.932","118.066","20.674"
"198","1:19.7","102.081","117.256","118.459","20.676"
"199","1:20.1","102.359","117.665","118.780","20.675"
"200","1:20.5","102.724","117.945","119.143","20.676"
"201","1:20.9","103.066","118.259","119.531","20.677"
"202","1:21.3","103.398","118.577","119.873","20.677"
"203","1:21.7","103.740","118.896","120.202","20.677"
"204","1:22.1","104.065","119.229","120.503","20.678"
"205","1:22.5","104.389","119.574","120.833","20.680"
"206","1:22.9","104.661","119.906","121.167","20.678"
"207","1:23.3","105.019","120.223","121.551","20.681"
"208","1:23.7","105.435","120.565","121.844","20.675"
"209","1:24.1","105.795","120.903","122.161","20.678"
"210","1:24.5","106.163","121.224","122.571","20.680"
"211","1:24.9","106.532","121.568","122.978","20.685"
"212","1:25.3","106.962","121.924","123.354","20.682"
"213","1:25.7","107.413","122.277","123.753","20.684"
"214","1:26.2","107.760","122.632","124.139","20.674"
"215","1:26.6","107.983","122.996","124.519","20.691"
"216","1:27.0","108.275","123.331","124.902","20.682"
"217","1:27.4","108.615","123.684","125.257","20.685"
"218","1:27.8","108.965","123.913","125.572","20.682"
"219","1:28.2","109.357","124.195","125.905","20.679"
"220","1:28.6","109.624","124.496","126.246","20.676"
"221","1:29.0","109.899","124.791","126.608","20.684"
"222","1:29.4","110.280","125.122","126.976","20.683"
"223","1:29.8","110.626","125.465","127.330","20.685"
"224","1:30.2","110.925","125.768","127.683","20.688"
"225","1:30.6","111.131","126.059","128.047","20.688"
"226","1:31.0","111.258","126.481","128.221","20.685"
"227","1:31.4","111.383","126.719","128.474","20.684"
"228","1:31.8","111.586","127.019","128.750","20.685"
"229","1:32.2","111.849","127.310","129.031","20.685"
"230","1:32.6","112.182","127.623","129.311","20.688"
"231","1:33.0","112.425","127.942","129.568","20.691"
"232","1:33.4","112.712","128.262","129.844","20.694"
"233","1:33.8","113.014","128.566","130.134","20.689"
"234","1:34.2","113.305","128.889","130.448","20.691"
"235","1:34.6","113.633","129.241","130.785","20.691"
"236","1:35.0","113.901","129.570","131.017","20.692"
"237","1:35.4","114.171","129.861","131.323","20.693"
"238","1:35.8","114.477","130.173","131.672","20.697"
"239","1:36.2","114.830","130.497","132.010","20.699"
"240","1:36.6","115.284","130.839","132.357","20.701"
"241","1:37.0","115.480","131.134","132.610","20.709"
"242","1:37.4","115.748","131.436","132.919","20.695"
"243","1:37.8","116.064","131.743","133.221","20.702"
"244","1:38.2","116.345","132.042","133.512","20.713"
"245","1:38.6","116.653","132.337","133.794","20.698"
"246","1:39.0","116.900","132.596","134.117","20.689"
"247","1:39.4","117.056","132.874","134.551","20.697"
"248","1:39.8","117.270","133.176","134.994","20.703"
"249","1:40.2","117.481","133.473","135.311","20.762"
"250","1:40.6","117.680","133.779","135.606","20.764"
"251","1:41.0","117.949","134.075","135.961","20.765"
"252","1:41.4","118.278","134.373","136.366","20.765"
"253","1:41.9","118.611","134.658","136.786","20.761"
"254","1:42.3","118.969","134.953","137.201","20.759"
"255","1:42.7","119.283","135.253","137.561","20.761"
"256","1:43.1","119.610","135.541","137.866","20.748"
"257","1:43.5","119.913","135.844","138.103","20.758"
"258","1:43.9","120.208","136.158","138.383","20.765"
"259","1:44.3","120.536","136.464","138.681","20.764"
"260","1:44.7","120.808","136.674","139.007","20.769"
"261","1:45.1","121.032","136.957","139.342","20.773"
"262","1:45.5","121.235","137.264","139.712","20.773"
"263","1:45.9","121.422","137.523","140.044","20.774"
"264","1:46.3","121.661","137.754","140.356","20.774"
"265","1:46.7","121.972","137.988","140.726","20.766"
"266","1:47.1","122.354","138.226","141.048","20.769"
"267","1:47.5","122.820","138.489","141.431","20.758"
"268","1:47.9","123.402","138.747","141.769","20.768"
"269","1:48.3","123.869","139.005","142.215","20.770"
"270","1:48.7","124.149","139.332","142.538","20.769"
"271","1:49.1","124.418","139.459","142.838","20.769"
"272","1:49.5","124.573","139.729","143.163","20.777"
"273","1:49.9","124.688","139.985","143.554","20.769"
"274","1:50.3","124.857","140.242","143.938","20.776"
"275","1:50.7","125.161","140.488","144.339","20.772"
"276","1:51.1","125.493","140.740","144.732","20.769"
"277","1:51.5","125.755","141.013","145.096","20.770"
"278","1:51.9","126.044","141.297","145.458","20.768"
"279","1:52.3","126.307","141.561","145.837","20.770"
"280","1:52.7","126.556","141.804","146.173","20.770"
"281","1:53.1","126.836","142.058","146.495","20.774"
"282","1:53.5","127.167","142.355","146.865","20.771"
"283","1:53.9","127.516","142.625","147.427","20.767"
"284","1:54.3","127.864","142.889","147.894","20.767"
"285","1:54.7","128.295","143.165","148.205","20.772"
"286","1:55.1","128.726","143.508","148.517","20.774"
"287","1:55.5","129.159","143.684","148.813","20.775"
"288","1:55.9","129.519","143.937","149.122","20.765"
"289","1:56.3","129.839","144.136","149.438","20.774"
"290","1:56.7","130.090","144.348","149.776","20.779"
"291","1:57.1","130.408","144.579","150.111","20.775"
"292","1:57.6","130.743","144.794","150.429","20.776"
"293","1:58.0","131.105","145.016","150.713","20.775"
"294","1:58.4","131.453","145.250","151.005","20.783"
"295","1:58.8","131.814","145.489","151.398","20.782"
"296","1:59.2","132.176","145.727","151.641","20.773"
"297","1:59.6","132.619","145.930","151.920","20.774"
"298","2:00.0","132.947","146.143","152.222","20.766"
"299","2:00.4","133.208","146.348","152.521","20.766"
"300","2:00.8","133.535","146.561","152.838","20.769"
"301","2:01.2","133.890","146.753","153.230","20.768"
"302","2:01.6","134.083","146.949","153.569","20.775"
"303","2:02.0","134.200","147.048","153.865","20.767"
"304","2:02.4","134.456","147.183","154.176","20.768"
"305","2:02.8","134.754","147.332","154.476","20.773"
"306","2:03.2","135.026","147.509","154.740","20.775"
"307","2:03.6","135.183","147.715","155.042","20.775"
"308","2:04.0","135.305","147.914","155.458","20.770"
"309","2:04.4","135.452","148.107","155.788","20.774"
"310","2:04.8","135.622","148.295","156.069","20.769"
"311","2:05.2","135.780","148.451","156.357","20.773"
"312","2:05.6","136.000","148.614","156.646","20.769"
"313","2:06.0","136.278","148.781","156.934","20.773"
"314","2:06.4","136.620","148.951","157.180","20.772"
"315","2:06.8","136.982","149.118","157.459","20.766"
"316","2:07.2","137.319","149.257","157.812","20.762"
"317","2:07.6","137.658","148.793","158.000","20.766"
"318","2:08.0","137.962","148.531","158.286","20.766"
"319","2:08.4","138.236","148.497","158.547","20.764"
"320","2:08.8","138.542","148.549","158.867","20.761"
"321","2:09.2","138.824","148.635","159.190","20.759"
"322","2:09.6","139.100","148.742","159.499","20.761"
"323","2:10.0","139.378","148.900","159.792","20.762"
"324","2:10.4","139.696","149.071","160.096","20.752"
"325","2:10.8","140.076","149.266","160.394","20.755"
"326","2:11.2","140.388","149.475","160.686","20.755"
"327","2:11.6","140.700","149.702","161.009","20.755"
"328","2:12.0","141.037","149.923","161.291","20.755"
"329","2:12.4","141.349","150.139","161.572","20.760"
"330","2:12.9","141.676","150.376","161.817","20.752"
"331","2:13.3","141.980","150.622","162.126","20.756"
"332","2:13.7","142.272","150.826","162.427","20.753"
"333","2:14.1","142.560","151.003","162.757","20.757"
"334","2:14.5","142.848","151.163","163.055","20.752"
"335","2:14.9","143.173","151.315","163.334","20.746"
"336","2:15.3","143.519","151.472","163.592","20.747"
"337","2:15.7","143.841","151.629","163.952","20.755"
"338","2:16.1","144.197","151.782","164.235","20.757"
"339","2:16.5","144.533","151.947","164.490","20.750"
"340","2:16.9","144.873","152.103","164.786","20.753"
"341","2:17.3","145.161","152.248","165.093","20.750"
"342","2:17.7","145.375","152.363","165.383","20.755"
"343","2:18.1","145.448","152.397","165.689","20.756"
"344","2:18.5","145.575","152.333","166.051","20.754"
"345","2:18.9","145.836","152.213","166.346","20.754"
"346","2:19.3","146.137","150.357","166.693","20.753"
"347","2:19.7","146.400","126.160","166.415","20.755"
"348","2:20.1","146.685","113.926","166.255","20.758"
"349","2:20.5","147.057","104.655","166.212","20.808"
"350","2:20.9","147.318","96.677","166.337","20.819"
"351","2:21.3","147.632","89.943","166.018","20.826"
"352","2:21.7","148.010","84.330","166.018","20.820"
"353","2:22.1","148.504","79.903","165.979","20.815"
"354","2:22.5","148.878","75.449","166.064","20.813"
"355","2:22.9","149.014","72.674","166.187","20.817"
"356","2:23.3","149.018","69.677","166.350","20.825"
"357","2:23.7","149.017","66.869","166.549","20.819"
"358","2:24.1","148.798","65.008","166.766","20.816"
"359","2:24.5","148.981","62.358","166.983","20.820"
