"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 4"
"Sample Count: 413"
"Start Time: 20/11/2025 11:08:53.4"
"Scan Rate: 2.48399996757507"
"Sample","Time (s)","PH1 (°C)","PH3 (°C)","PH2 (°C)","Ambient (°C)"
"0","0:00.0","30.026","30.498","30.438","20.837"
"1","0:00.4","30.026","30.492","30.435","20.839"
"2","0:00.8","30.023","30.489","30.434","20.844"
"3","0:01.2","30.027","30.487","30.428","20.837"
"4","0:01.6","30.024","30.481","30.432","20.833"
"5","0:02.0","30.022","30.474","30.427","20.834"
"6","0:02.4","30.025","30.472","30.422","20.832"
"7","0:02.8","30.024","30.468","30.416","20.830"
"8","0:03.2","30.018","30.457","30.417","20.829"
"9","0:03.6","30.020","30.453","30.412","20.833"
"10","0:04.0","30.015","30.450","30.405","20.830"
"11","0:04.4","30.003","30.448","30.407","20.824"
"12","0:04.8","30.015","30.443","30.398","20.830"
"13","0:05.2","30.012","30.434","30.399","20.824"
"14","0:05.6","30.012","30.432","30.394","20.828"
"15","0:06.0","30.010","30.431","30.394","20.825"
"16","0:06.4","30.001","30.428","30.388","20.825"
"17","0:06.8","30.003","30.425","30.389","20.823"
"18","0:07.2","29.998","30.422","30.383","20.822"
"19","0:07.6","29.987","30.418","30.384","20.819"
"20","0:08.1","29.987","30.415","30.377","20.823"
"21","0:08.5","29.982","30.410","30.375","20.815"
"22","0:08.9","29.984","30.406","30.373","20.818"
"23","0:09.3","29.983","30.384","30.356","20.815"
"24","0:09.7","29.982","30.467","30.390","20.814"
"25","0:10.1","30.004","30.709","30.483","20.816"
"26","0:10.5","30.080","31.050","30.611","20.808"
"27","0:10.9","30.186","31.581","30.797","20.811"
"28","0:11.3","30.330","32.124","31.033","20.825"
"29","0:11.7","30.568","32.723","31.324","20.813"
"30","0:12.1","30.744","33.405","31.606","20.806"
"31","0:12.5","30.930","34.001","31.952","20.808"
"32","0:12.9","31.233","34.619","32.314","20.823"
"33","0:13.3","31.613","35.336","32.673","20.809"
"34","0:13.7","31.869","36.119","33.127","20.814"
"35","0:14.1","32.252","36.856","33.552","20.814"
"36","0:14.5","32.570","37.532","34.029","20.811"
"37","0:14.9","32.893","38.206","34.483","20.810"
"38","0:15.3","33.347","38.826","34.925","20.804"
"39","0:15.7","33.760","39.597","35.430","20.814"
"40","0:16.1","34.158","40.401","35.962","20.816"
