Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 3620885024
71.711716,1.6,33.91,1988,3,2,0,114.74,1,0,
71.861862,2.4,33.91,2258,3,2,0,172.47,1,0,
71.651657,3,33.91,1089,5,3,0,214.95,1,0,
71.62162,4.4,33.88,1937,5,3,0,315.14,1,0,
71.501503,7.4,33.88,2245,6,6,0,529.11,1,0,
71.561562,7.2,33.88,2592,5,5,0,515.24,1,0,
71.501503,6.6,33.85,2229,6,5,0,471.91,1,0,
71.861862,6.4,33.85,2662,5,5,0,459.92,1,0,
71.231232,6.2,33.82,2697,6,6,0,441.63,1,0,
71.29129,7.6,33.82,2375,5,5,0,541.81,1,0,
71.681686,6.4,33.8,2592,6,5,0,458.76,1,0,
71.891891,7,33.82,2377,5,5,0,503.24,1,0,
71.561562,7,33.82,2325,5,5,0,500.93,1,0,
71.561562,8.4,33.82,2086,5,5,0,601.12,1,0,
71.381386,7,33.82,2264,5,5,0,499.67,1,0,
71.471474,8,33.88,2286,5,5,0,571.77,1,0,
71.561562,7.8,33.91,2071,5,5,0,558.18,1,0,
71.561562,6.4,33.96,2025,5,5,0,457.99,1,0,
71.531532,8.4,34.02,1977,5,5,0,600.86,1,0,
71.501503,6.4,34.13,1934,5,5,0,457.61,1,0,
71.561562,10,34.18,950,5,5,0,715.62,1,0,
71.531532,7,34.24,1076,5,5,0,500.72,1,0,
71.381386,11,34.32,989,5,6,0,785.2,1,0,
71.531532,8.4,34.4,985,6,5,0,600.86,1,0,
71.471474,8.8,34.46,1648,6,6,0,628.95,1,0,
71.531532,7.8,34.54,2219,6,5,0,557.95,1,0,
71.471474,7.6,34.6,2122,6,5,0,543.18,1,0,
71.501503,9,34.68,829,6,5,0,643.51,1,0,
71.471474,6.6,34.68,2556,7,5,0,471.71,1,0,
71.441444,9.2,34.79,2279,7,5,0,657.26,1,0,
71.561562,6.6,34.84,2018,7,5,0,472.31,1,0,
71.651657,8.6,34.9,2010,7,5,0,616.2,1,0,
71.651657,7.6,34.98,742,7,5,0,544.55,1,0,
71.531532,9,35.07,1524,7,5,0,643.78,1,0,
71.531532,9,35.09,1788,7,5,0,643.78,1,0,
71.561562,7.4,35.12,927,7,5,0,529.56,1,0,
71.561562,8.6,35.21,1982,7,5,0,615.43,1,0,
71.29129,7.2,35.32,2339,7,6,0,513.3,1,0,
71.471474,10.2,35.35,942,7,5,0,729.01,1,0,
71.501503,6.6,35.4,2459,7,5,0,471.91,1,0,
71.531532,9.8,35.49,1858,7,5,0,701.01,1,0,
71.29129,6,35.54,1908,7,5,0,427.75,1,0,
72.252251,8.2,35.6,1954,7,5,0,592.47,1,0,
71.32132,7,35.63,1921,8,5,0,499.25,1,0,
71.351357,9.2,35.68,2211,7,6,0,656.43,1,0,
72.042046,7.2,35.74,2353,8,5,0,518.7,1,0,
71.591591,6.8,35.82,1995,7,6,0,486.82,1,0,
71.531532,9,35.91,2002,8,5,0,643.78,1,0,
71.531532,6.4,35.96,2021,7,5,0,457.8,1,0,
71.531532,8,36.05,1982,8,5,0,572.25,1,0,
71.681686,6.2,36.1,2047,7,5,0,444.43,1,0,
71.501503,7.4,36.1,1986,8,5,0,529.11,1,0,
71.501503,7,36.16,1931,7,5,0,500.51,1,0,
71.501503,9.4,36.22,1896,8,5,0,672.11,1,0,
71.531532,8,36.24,1721,7,5,0,572.25,1,0,
71.591591,9,36.3,1270,8,5,0,644.32,1,0,
71.591591,7.6,36.3,723,7,5,0,544.1,1,0,
71.471474,7.6,36.39,1675,8,5,0,543.18,1,0,
71.441444,8.2,36.44,1934,7,5,0,585.82,1,0,
71.591591,6.2,36.47,846,8,5,0,443.87,1,0,
71.531532,9.8,36.53,1900,7,5,0,701.01,1,0,
71.32132,6.2,36.61,1902,7,5,0,442.19,1,0,
71.561562,9.2,36.64,1394,7,5,0,658.37,1,0,
71.561562,7.4,36.67,1006,7,5,0,529.56,1,0,
71.441444,11,36.73,1391,7,5,0,785.86,1,0,
71.531532,8.6,36.78,735,7,5,0,615.17,1,0,
71.381386,8.4,36.81,2352,7,6,0,599.6,1,0,
71.561562,8.6,36.93,1983,7,5,0,615.43,1,0,
71.471474,7.2,36.98,2124,7,5,0,514.59,1,0,
71.561562,8.4,37.04,1984,7,5,0,601.12,1,0,
71.531532,6.4,37.07,2032,7,5,0,457.8,1,0,
72.042046,8,37.1,1957,7,5,0,576.34,1,0,
71.861862,6.8,37.13,1824,7,5,0,488.66,1,0,
71.561562,9.6,37.16,1446,7,5,0,686.99,1,0,
71.62162,7.6,37.21,732,7,5,0,544.32,1,0,
71.351357,11,37.21,1680,7,6,0,784.86,1,0,
71.531532,8.8,37.24,770,7,5,0,629.48,1,0,
71.351357,7.4,37.3,2363,7,6,0,528,1,0,
71.561562,8.6,37.33,1986,7,5,0,615.43,1,0,
71.531532,6.4,37.36,2013,7,5,0,457.8,1,0,
71.561562,8.2,37.41,1984,7,5,0,586.8,1,0,
71.501503,6.2,37.47,1911,7,5,0,443.31,1,0,
71.561562,9.6,37.53,1844,7,5,0,686.99,1,0,
71.531532,7.4,37.53,1234,7,5,0,529.33,1,0,
71.381386,10.6,37.61,1208,7,6,0,756.64,1,0,
71.531532,8.4,37.64,747,7,5,0,600.86,1,0,
71.381386,9,37.64,2294,7,6,0,642.43,1,0,
71.531532,8.6,37.67,1465,7,5,0,615.17,1,0,
71.471474,7.8,37.76,2240,7,5,0,557.48,1,0,
71.561562,8,37.82,1985,7,5,0,572.49,1,0,
71.561562,6.2,37.82,2005,7,5,0,443.68,1,0,
71.351357,8.2,37.85,1977,7,5,0,585.08,1,0,
71.981987,5.8,37.88,1870,8,5,0,417.5,1,0,
71.561562,9.6,37.93,1304,7,5,0,686.99,1,0,
71.591591,7,37.96,727,8,5,0,501.14,1,0,
71.351357,10.8,38.02,1881,7,6,0,770.59,1,0,
71.531532,8.4,38.08,755,8,5,0,600.86,1,0,
71.261261,7,38.08,2304,7,6,0,498.83,1,0,
71.531532,8.4,38.11,1984,8,5,0,600.86,1,0,
71.471474,7.2,38.14,1988,7,5,0,514.59,1,0,
71.531532,8,38.17,1985,8,5,0,572.25,1,0,
71.441444,6,38.22,1900,7,5,0,428.65,1,0,
71.561562,9.6,38.28,1888,8,5,0,686.99,1,0,
71.531532,7.2,38.28,1450,7,5,0,515.03,1,0,
71.62162,10.8,38.37,1370,8,5,0,773.51,1,0,
71.531532,8.2,38.37,751,7,5,0,586.56,1,0,
71.441444,9.4,38.43,2292,8,6,0,671.55,1,0,
71.531532,8.4,38.49,1015,7,5,0,600.86,1,0,
72.042046,6.8,38.51,2279,8,6,0,489.89,1,0,
71.531532,8.6,38.57,1983,7,5,0,615.17,1,0,
71.501503,6.8,38.57,1973,8,5,0,486.21,1,0,
71.351357,8.2,38.63,1980,7,5,0,585.08,1,0,
71.531532,7,38.66,1779,7,5,0,500.72,1,0,
71.711716,11.4,38.72,986,7,5,0,817.51,1,0,
71.531532,7.6,38.75,1984,7,5,0,543.64,1,0,
71.471474,9.6,38.75,2042,7,6,0,686.13,1,0,
71.561562,7,38.75,2220,7,5,0,500.93,1,0,
71.471474,7.8,38.78,1903,7,5,0,557.48,1,0,
71.95195,8.2,38.81,1924,7,5,0,590.01,1,0,
71.471474,6.6,38.81,1911,7,5,0,471.71,1,0,
71.231232,12.8,38.87,931,7,6,0,911.76,1,0,
71.561562,6,38.9,1889,7,5,0,429.37,1,0,
71.441444,11.6,38.98,2055,7,6,0,828.72,1,0,
71.531532,7.2,38.98,753,7,5,0,515.03,1,0,
71.411415,10.4,38.98,2123,7,6,0,742.68,1,0,
71.561562,7,38.98,2133,7,5,0,500.93,1,0,
71.441444,9,39.01,1863,7,6,0,642.97,1,0,
71.531532,10,39.04,1211,7,5,0,715.32,1,0,
71.441444,7.8,39.07,1921,7,6,0,557.24,1,0,
71.561562,9.2,39.13,1289,7,5,0,658.37,1,0,
71.501503,7,39.13,1690,7,5,0,500.51,1,0,
